team,player_name
spurgeon college,Daniel Akin
spurgeon college,Jalen Johnson
spurgeon college,TJ Moss
spurgeon college,Josh Alexander
spurgeon college,Tyree Pickron
spurgeon college,Sam Martin
spurgeon college,Nathan Scott
spurgeon college,Tarkan Taboglu
spurgeon college,Khalen Robinson
spurgeon college,Jalen White
spurgeon college,Brendan Mykalcio
spurgeon college,Eddie Holland III
spurgeon college,Max Enger
spurgeon college,AJ Taylor
