team,player_name
indiana university northwest,Cameron Jones
indiana university northwest,Jalen Johnson
indiana university northwest,Jake Milkereit
indiana university northwest,Robert Brown III
indiana university northwest,Eddie Holland III
indiana university northwest,Jordan Wildy
indiana university northwest,DJ Jackson
indiana university northwest,Assa Essamvous
indiana university northwest,CJ Jones
indiana university northwest,Tyler Andrews
indiana university northwest,C.J. Delancy
indiana university northwest,Allen David Mukeba Jr.
indiana university northwest,Andre Johnson Jr.
indiana university northwest,Aaron Talbert
indiana university northwest,Solomon Ball
indiana university northwest,Braylon Jackson
indiana university northwest,Eduardo Placer
indiana university northwest,Jaiun Simon
indiana university northwest,Marvel Allen
indiana university northwest,Michael Gray Jr.
