team,player_name
nebraska wesleyan,Tyler Stewart
nebraska wesleyan,Ty Flowers
nebraska wesleyan,Jaylen Fornes
nebraska wesleyan,RJ Smith
nebraska wesleyan,Brandon Suggs
nebraska wesleyan,Josh Mullins
nebraska wesleyan,"Derek Hawthorne, Jr."
nebraska wesleyan,Isaiah Williams
nebraska wesleyan,Eral Penn
nebraska wesleyan,Kevin Zhang
nebraska wesleyan,Alex Rivera
nebraska wesleyan,Mike Jones
nebraska wesleyan,Tre Wood
nebraska wesleyan,"Antonio Daye, Jr."
nebraska wesleyan,Kaosi Ezeagu
nebraska wesleyan,Erick Valdez
nebraska wesleyan,Josh Alexander
nebraska wesleyan,Abdul Alatishe
nebraska wesleyan,Jordan Williams
nebraska wesleyan,Matt Smith
nebraska wesleyan,Brendan Wenzel
nebraska wesleyan,Ricco Williams
nebraska wesleyan,Maxim Romanov
nebraska wesleyan,Marlon Taylor
nebraska wesleyan,Tarkan Taboglu
