ncaa_id,year,x,y,z,player_name,team
3149899,2019,-27.952272,-7.524268,65.37514,Shaquille Doorson,Rutgers
3149900,2019,-28.061209,-21.128773,20.855219,D.J. Foreman,Saint Louis
3149936,2019,-42.24329,3.9796095,2.578787,Rashaan Holloway,Massachusetts
3151454,2019,37.77211,-14.047283,30.362263,Ehab Amin,Oregon
3153166,2019,21.751999,33.486504,15.21151,Kaleb Joseph,Creighton
3153183,2019,46.400154,-29.136648,-12.638149,Cane Broome,Cincinnati
3153373,2019,19.134367,-4.82673,55.68586,Geno Crandall,Gonzaga
3155499,2019,-26.709631,-22.540453,26.949512,Novak Topalovic,Utah
3155501,2019,11.173044,-27.85655,17.782978,Torry Johnson,Wake Forest
3155501,2020,8.266776,-30.19948,34.94516,Torry Johnson,Wake Forest
3155509,2019,2.2719715,48.368725,19.560816,Nicholas Baer,Iowa
3155698,2019,7.627555,-28.377934,35.014313,Chris Collins,Texas A&M
3155733,2019,1.9084069,-4.885077,55.88067,Kyle Castlin,Xavier
3155941,2019,38.592907,24.967678,47.257927,Josh Perkins,Gonzaga
3157162,2024,-32.658287,-2.6179297,16.744339,Drew Cisse,Western Illinois
3163004,2019,-38.800583,13.693797,9.901257,Zach Hankins,Xavier
3904611,2021,-29.618458,-11.599742,-1.6225895,Thomas Bruce,Binghamton
3904623,2019,-32.2718,-15.134796,29.399075,Chad Brown,UCF
3904625,2019,-41.51808,7.770106,14.540895,Tacko Fall,UCF
3904628,2019,36.990585,17.555296,50.332275,Anthony Lawrence II,Miami FL
3904629,2019,-30.560404,18.62862,1.6746995,Ebuka Izundu,Miami FL
3904645,2019,6.058072,42.081192,23.790966,KiShawn Pritchett,Davidson
3906464,2019,40.84766,-19.680696,-5.7276697,Jahshire Hardnett,BYU
3906465,2019,13.392397,20.294243,14.338318,Joseph Chartouny,Marquette
3906466,2019,-14.735051,36.651695,-9.127707,Jesse Bunting,Fordham
3906519,2019,39.186466,32.85334,20.444122,Sacar Anim,Marquette
3906519,2020,50.65502,37.21663,16.59128,Sacar Anim,Marquette
3906520,2019,19.541382,-38.730244,6.1917114,Traci Carter,La Salle
3906520,2021,40.624207,-18.475918,-7.3482785,Traci Carter,Hartford
3906520,2022,36.803432,-18.151394,-18.7117,Traci Carter,Hartford
3906521,2020,40.95612,25.370874,-4.3001585,Haanif Cheatham,Nebraska
3906547,2020,15.327572,38.53411,39.87732,Ryan Woolridge,Gonzaga
3906578,2020,10.2249565,62.302616,-6.671698,Anthony Mathis,Oregon
3906650,2019,21.678638,-0.0045179594,6.5506744,Jeremy Hemsley,San Diego St.
3906665,2019,-31.037853,11.651137,-10.565754,Brandon Clarke,Gonzaga
3906668,2019,0.60545146,60.833965,-5.959264,Ryan Welage,Xavier
3906670,2019,5.420865,56.9017,21.512321,Grady Eifert,Purdue
3906672,2021,2.7484958,-25.32204,49.185623,Grant Weatherford,Georgia Southern
3906672,2022,6.5422015,-5.405625,40.178223,Grant Weatherford,Georgia Southern
3906675,2019,14.470404,60.61058,17.691225,Ryan Cline,Purdue
3906682,2020,29.935598,16.165075,-12.39814,Andrien White,Wake Forest
3906684,2019,34.35091,25.848948,1.3554149,Curran Scott,Tulsa
3906684,2020,22.9044,-31.760796,33.526863,Curran Scott,Clemson
3906811,2019,-13.402453,34.097546,-13.024798,Wyatt Walker,N.C. State
3906956,2020,22.659838,33.61547,8.157206,Stone Gettings,Arizona
3906964,2020,-24.98462,1.3626562,-12.039062,Evan Boudreaux,Purdue
3907020,2020,18.139917,39.485577,19.756247,Daniel Utomi,USC
3907098,2020,5.971361,-3.836381,30.91029,Bryce Moore,Xavier
3907339,2020,-25.36283,19.160227,-5.8751974,TJ Holyfield,Texas Tech
3907358,2019,42.89358,26.759645,37.727425,Quinndary Weatherspoon,Mississippi St.
3907360,2019,-16.091412,21.578901,-32.81945,Aric Holman,Mississippi St.
3907406,2019,31.615316,5.905359,2.4355001,Dazon Ingram,Alabama
3907406,2020,32.642387,-29.033192,28.183838,Dazon Ingram,UCF
3907408,2019,-20.34913,35.276882,-22.311733,Donta Hall,Alabama
3907488,2019,41.03923,21.647396,14.344812,David Crisp,Washington
3907489,2019,-29.642479,-3.499699,-1.8558421,Noah Dickerson,Washington
3907493,2019,2.661695,54.718174,30.865122,Dominic Green,Washington
3907498,2019,20.0504,-5.284081,51.51909,Matisse Thybulle,Washington
3907507,2019,-27.901564,-5.76118,34.011448,Makol Mawien,Kansas St.
3907507,2020,-22.166357,-18.69902,-8.551482,Makol Mawien,Kansas St.
3907524,2019,40.23743,-27.56776,17.630112,Justin Simon,St. John's
3907779,2020,-29.56403,10.071413,61.858353,Chris Harris Jr.,Houston
3907780,2019,29.124853,-1.7903734,57.15693,Galen Robinson Jr.,Houston
3907785,2019,-24.866419,13.3092375,-31.668531,Dedric Lawson,Kansas
3907786,2020,46.78433,7.6919947,-23.791,K.J. Lawson,Tulane
3907788,2019,50.573757,7.045775,34.88346,Jeremiah Martin,Memphis
3907804,2019,50.5888,26.959074,-20.323336,Jahmal McMurray,SMU
3907811,2019,29.765272,-30.703964,-16.247204,Sterling Taplin,Tulsa
3907823,2019,16.470293,40.457462,36.068695,Terance Mann,Florida St.
3907824,2019,-37.845158,3.7938309,29.536097,Christ Koumadje,Florida St.
3908320,2019,-3.6970246,56.338596,5.064748,Brevin Pritzl,Wisconsin
3908320,2020,24.99152,59.397594,8.693414,Brevin Pritzl,Wisconsin
3908322,2019,11.928141,19.845686,63.71794,Khalil Iverson,Wisconsin
3908335,2020,9.924191,-12.540901,40.233387,Rex Pflueger,Notre Dame
3908336,2019,15.044605,30.320503,17.86782,Matt Ryan,Vanderbilt
3908374,2019,-24.82316,-18.15511,-18.723866,Jarred Reuter,George Mason
3908520,2019,-20.341034,-7.5400558,14.11094,Horace Spencer,Auburn
3908521,2019,27.736544,50.88389,25.7133,Bryce Brown,Auburn
3908808,2019,20.937256,29.711597,35.220013,Ryan McMahon,Louisville
3908808,2020,5.925801,60.521656,19.628403,Ryan McMahon,Louisville
3908857,2019,-26.858603,22.757143,-4.9801884,Ryan Mikesell,Dayton
3908857,2020,4.80998,32.133015,58.00288,Ryan Mikesell,Dayton
3908867,2019,28.757553,-28.759705,-21.414576,Otis Livingston II,George Mason
3908871,2019,3.7797847,37.688778,9.476614,Julius Johnson,Richmond
3908903,2019,5.8947964,63.196037,-5.0758963,Sean McDermott,Butler
3908903,2020,-5.532782,57.65765,6.7739153,Sean McDermott,Butler
3908904,2019,-23.060957,12.615359,-9.700164,Nate Fowler,Butler
3911619,2019,28.356953,-13.389428,48.72428,Kenny Williams,North Carolina
3911620,2019,-26.054607,4.7882476,-28.270004,Luke Maye,North Carolina
3911624,2019,-27.793034,-14.448985,53.199745,Djery Baptiste,Massachusetts
3911625,2022,41.785362,28.662119,17.596027,Camron Justice,Western Kentucky
3911626,2019,-24.48738,9.961188,-38.812668,Samir Sehic,Tulane
3911627,2019,24.338934,-29.09425,10.955087,Joe Toye,Vanderbilt
3911628,2019,44.833538,-24.33793,-30.438667,Lamarr Kimble,Saint Joseph's
3911628,2020,21.423801,-33.020836,33.36509,Lamarr Kimble,Louisville
3911629,2019,47.732822,-0.9758945,-29.618092,Chris Clover,Saint Joseph's
3911841,2019,43.484898,-27.67824,-30.966047,DJ Williams,George Washington
3911842,2020,45.13252,7.270138,-5.1774807,Jalen Coleman-Lands,DePaul
3911842,2021,46.680527,40.238743,-10.152584,Jalen Coleman-Lands,Iowa St.
3911843,2019,17.127102,57.414837,23.054678,Aaron Jordan,Illinois
3911888,2019,32.938717,-14.853824,4.1762676,Dupree McBrayer,Minnesota
3911889,2019,-29.865047,2.2680924,-20.82394,Jordan Murphy,Minnesota
3911892,2019,58.970463,36.14686,9.174002,Glynn Watson Jr.,Nebraska
3911894,2020,10.567744,-32.12069,27.236647,Bakari Evelyn,Iowa
3911895,2019,45.118782,34.7989,21.84134,Michael Jacobson,Iowa St.
3911895,2020,-28.088043,6.942391,-23.523739,Michael Jacobson,Iowa St.
3911896,2019,-36.26976,-2.1774669,22.376017,Ed Morrow,Marquette
3912272,2020,1.0381294,-20.327745,54.70146,Mickey Mitchell,Arizona St.
3912278,2019,27.837654,18.983446,42.12795,Josh Reaves,Penn St.
3912279,2019,-38.12062,-7.566614,16.42917,Mike Watkins,Penn St.
3912279,2020,-33.46299,11.620453,-3.5558946,Mike Watkins,Penn St.
3912281,2019,20.000294,19.229046,31.269192,Terrell Allen,UCF
3912281,2020,41.1863,20.84593,32.370747,Terrell Allen,Georgetown
3912337,2019,-16.541607,13.891526,-40.158768,Martin Krampelj,Creighton
3912841,2019,60.57465,-3.9329329,25.508987,Barry Brown Jr.,Kansas St.
3912845,2019,-18.275322,2.0636268,-34.38687,Isaiah Maurice,Memphis
3912847,2019,42.467365,-1.4354733,29.01039,Kamau Stokes,Kansas St.
3912848,2019,-24.759827,17.99159,-32.71232,Dean Wade,Kansas St.
3913163,2019,36.626553,-33.03056,-20.796085,Armel Potter,George Washington
3913163,2020,48.167946,-15.232561,2.6782103,Armel Potter,George Washington
3913169,2020,48.02766,36.89504,23.461823,Akwasi Yeboah,Rutgers
3913173,2019,-39.51284,5.297257,14.750424,Chase Jeter,Arizona
3913173,2020,-39.733875,6.8578777,18.17551,Chase Jeter,Arizona
3913175,2019,32.636055,-36.72871,5.0152655,Derryck Thornton,USC
3913175,2020,33.379333,-38.154873,-21.380812,Derryck Thornton,Boston College
3913188,2019,11.077569,38.02181,40.244675,Samir Doughty,Auburn
3913188,2020,52.232143,7.6907096,41.837852,Samir Doughty,Auburn
3913220,2019,-17.07821,11.229425,-39.69231,DaQuan Jeffries,Tulsa
3913238,2019,31.784206,-13.132365,4.7437377,Dylan Smith,Arizona
3913238,2020,36.682003,20.63037,34.741,Dylan Smith,Arizona
3913239,2019,16.484472,39.379913,34.33157,Dwayne Sutton,Louisville
