PPG_from,APG_from,RPG_from,SPG_from,BPG_from,MPG_from,Usage_from,off_rtg_from,def_rtg_from,off_usage_from,Min_per_from,ORtg_from,usgG1_from,eFG_from,TS_per_from,ORB_per_from,DRB_per_from,AST_per_from,TO_per_from,FT_per_from,twoP_per_from,TP_per_from,blk_per_from,stl_per_from,ftr_from,porpag_from,adjoe_from,pfr_from,drtg_from,adrtg_from,dporpag_from,stops_from,oreb_from,dreb_from,treb_from,ast_from,stl_from,blk_from,pts_from,class_from_---,class_from_Fr,class_from_Jr,class_from_So,class_from_Sr,bpm_change,player_key,year_from,year_to,cluster_from,cluster_to
8.9,1.1,2.8,1.3,0.5,21.9,20.2,,,,54.7,100.5,20.2,52.4,55.96,3.6,11.7,11.8,18.5,0.71,0.538,0.329,2.5,3.4,40.3,1.019,100.884,4.8,96.8897,97.677,2.41211,159.858,0.7297,2.0541,2.7838,1.1351,1.3243,0.4595,8.8919,0,0,0,0,0,-3.92654,3906508,2019,2020,9.0,1.0
6.2,1.5,3.6,0.8,0.1,20.7,20.1,,,,51.6,95.6,20.1,42.6,47.93,5.9,14.6,13.7,22.4,0.815,0.404,0.298,0.7,2.2,29.5,0.647606,96.5005,5.0,106.417,106.177,1.66741,115.532,1.1212,2.4545,3.5758,1.5455,0.7879,0.1212,6.2424,0,0,0,0,0,2.99534,3906509,2019,2020,10.0,9.0
8.3,1.2,3.1,,,,15.5,98.1038,101.6064,0.1529,74.5,100.1,14.8,49.2,50.56,2.3,8.6,7.5,14.9,0.585,0.456,0.391,0.5,1.0,26.1,0.929504,96.4417,2.6,102.026,98.7553,3.17681,161.94,0.5882,2.4706,3.0588,1.2353,0.5294,0.1471,8.3235,0,0,1,0,0,2.0664279999999997,3906519,2019,2020,11.0,13.0
6.4,3.3,2.7,,,,18.4,94.1654,101.8949,0.19,61.1,91.1,19.0,41.9,45.03,1.9,11.2,27.6,23.3,0.839,0.397,0.301,0.4,4.3,15.2,0.300113,90.9954,4.4,101.15,100.984,2.41598,155.183,0.4194,2.2581,2.6774,3.2581,1.8387,0.0968,6.3548,0,0,1,0,0,1.37754577,3906520,2019,2020,16.0,2.0
9.7,4.9,3.9,2.5,0.3,33.0,22.1,,,,82.3,91.6,22.1,40.9,44.86,2.5,10.4,31.2,20.3,0.788,0.29,0.373,0.9,4.6,21.8,0.656466,91.0857,4.3,93.1941,96.328,3.54396,223.88,0.7273,3.1818,3.9091,4.9091,2.5152,0.2727,9.697,0,0,0,0,0,1.06101,3906520,2020,2021,2.0,2.0
11.7,3.5,3.5,,,,23.9,96.343,94.6117,0.2405,79.7,95.1,24.0,46.9,50.06,1.1,11.2,24.4,20.3,0.778,0.41,0.364,0.9,4.7,21.3,1.37458,97.6835,3.9,91.2494,94.0729,3.67023,170.238,0.2917,3.1667,3.4583,3.5417,2.5,0.25,11.6667,0,0,0,0,1,-5.074479999999999,3906520,2021,2022,2.0,16.0
13.2,1.9,4.8,1.2,0.2,27.3,27.0,,,,20.7,94.6,27.0,49.5,52.56,2.0,17.7,15.4,18.6,0.658,0.481,0.368,0.9,2.1,38.8,1.56278,103.802,1.9,104.125,100.872,2.73337,48.6934,0.4,4.4,4.8,1.9,1.2,0.2,13.2,0,0,0,0,0,5.037129999999999,3906521,2019,2020,,13.0
5.3,1.3,3.2,0.4,0.3,19.5,16.3,,,,47.0,105.2,16.3,55.6,58.14,5.6,13.8,12.7,21.0,0.643,0.615,0.241,1.8,1.2,56.0,0.985475,102.126,5.6,101.294,98.9848,2.04743,115.183,0.8571,2.3143,3.1714,1.2857,0.4,0.3143,5.3429,0,0,0,0,0,-2.473754,3906544,2019,2020,0.0,7.0
11.7,4.8,5.9,1.9,0.3,31.7,23.1,,,,75.3,98.9,23.1,49.3,50.5,3.6,16.2,29.9,21.8,0.558,0.495,0.321,1.2,3.7,31.5,1.69018,102.025,2.0,90.7622,93.9293,4.1224,201.049,1.0333,4.8667,5.9,4.8333,1.9333,0.3,11.6667,0,0,0,0,0,2.8634099999999996,3906547,2019,2020,2.0,14.0
12.9,0.5,7.9,0.2,1.8,29.5,24.5,,,,73.2,96.6,24.5,47.8,50.92,8.8,20.5,3.6,17.1,0.622,0.472,0.4,5.8,0.3,45.3,1.23684,99.6317,5.0,97.8245,99.2584,3.06836,184.824,2.3636,5.5455,7.9091,0.4848,0.1515,1.8182,12.9091,0,0,0,0,0,-1.3930699999999998,3906549,2019,2020,0.0,7.0
