team,num_players,total_current_usage,total_optimal_usage,usage_concentration,top_2_usage,top_3_usage,weighted_team_bpm,potential_team_bpm,bpm_improvement_potential,overutilized_count,underutilized_count
Evansville,10,192.33946597262388,210,0.3012060433403479,57.93380952380952,80.11714285714285,-4.823651619995955,-1.788198876391921,3.0354527436040337,1,1
Eastern Michigan,12,224.36439617609489,310,0.2169300182138495,48.67137254901961,72.04470588235294,-3.632533031879154,0.9759535163396106,4.608486548218765,1,7
Nebraska,10,187.24169910069293,170,0.26000299930606846,48.683403361344546,69.71768907563026,3.012616388048469,9.025453992921582,6.012837604873113,3,1
UCF,11,204.12001457152905,235,0.2468939279945184,50.39599217986314,71.7347018572825,0.5832930015098311,5.550820126196929,4.9675271246870984,3,6
East Texas A&M,11,199.3781807040378,195,0.24863612895137177,49.57261904761904,71.7992857142857,-4.9074020267181435,0.4736742104982415,5.381076237216385,4,4
Kent St.,11,196.8628050779865,205,0.26448304939764467,52.066874999999996,72.79590725806452,-2.68169947675547,1.6799651367003765,4.361664613455846,3,4
UC Santa Barbara,11,207.25554324028457,165,0.22511259580276824,46.655833333333334,67.71916666666667,-0.7582154595120048,0.779654494354166,1.5378699538661706,4,0
Memphis,13,243.21601884841013,265,0.19852630782473676,48.28477822580645,70.44077822580644,-1.809724914928649,2.9962609740502093,4.805985888978858,3,4
Gonzaga,11,212.26478626510885,245,0.248296522575842,52.70460829493088,76.85460829493087,4.518753792256375,6.3206874707946925,1.801933678538317,2,5
Delaware St.,12,241.35094154183412,240,0.23444464932072487,56.58343685300207,80.84226038241383,-9.455588017672268,-5.329453306499138,4.12613471117313,3,4
Rhode Island,10,181.98751147639075,180,0.28459230498950683,51.79224537037037,73.13707295657727,-1.209916381830518,4.328898845842159,5.538815227672677,4,4
Siena,8,144.3911841606669,150,0.32599932499377016,47.07142857142857,70.08571428571429,-1.2991042705633966,2.572541095036475,3.8716453655998713,3,3
Southern Miss,11,218.07076091800354,195,0.31847460754316254,69.45,99.11060606060606,-5.204853265110007,-1.5134833759229671,3.6913698891870395,5,3
High Point,11,200.3039783454624,225,0.26725053161273055,53.5313446969697,75.97717803030304,1.8722429517388106,4.176273549823606,2.304030598084796,1,4
McNeese St.,9,169.00079205069125,215,0.34023509181396655,57.5,77.3875,2.3079880023972597,7.351037018890038,5.043049016492779,1,5
Georgia Southern,10,181.52055799592566,200,0.2873661127905302,52.16285714285715,74.4246218487395,-3.003934212004912,0.9118700412392683,3.9158042532441804,2,3
Texas A&M,10,197.33041109625668,210,0.2398405946368228,47.3278431372549,68.46420677361854,2.297867878274075,6.664356825545097,4.366488947271022,2,5
Texas,9,166.31376623376622,155,0.3241205794711295,53.905714285714275,76.04857142857142,2.6161540730104376,4.090519812169063,1.4743657391586256,2,0
Hawaii,10,192.6174365385754,180,0.2795613318526851,53.84838709677419,74.48052995391704,0.14675142429603816,3.405607103261596,3.258855678965558,2,2
Saint Peter's,12,213.0683942038354,220,0.26848031846029935,57.20467032967032,77.3162087912088,-3.1292927432432918,0.03730804738022861,3.1666007906235203,4,4
Maine,11,210.06749407234426,245,0.23187682046571512,48.70978260869565,71.04526647966338,-5.451496189218776,0.44609254545059684,5.897588734669373,1,4
Cincinnati,12,224.96315519916587,220,0.20246445677039282,45.54704301075269,67.19543010752687,1.5741937193599045,5.935343373946417,4.361149654586513,5,3
USC,10,197.03499508814062,220,0.29779626552145105,58.676285714285726,82.31822119815669,0.40397504653946714,4.505058095521136,4.1010830489816685,2,3
Murray St.,11,209.47698863636367,205,0.2668116887432037,55.89090909090909,80.1846590909091,-1.076542454784853,2.9022581359705155,3.9788005907553687,3,3
UC Irvine,10,185.41297653958944,200,0.2691289516585984,49.900000000000006,73.4030303030303,-0.7599862747123673,3.629869140081859,4.389855414794226,2,3
Oklahoma St.,14,248.25880925574353,250,0.18603626545393956,46.18514173998045,68.02360327844198,-0.2438320279254056,3.7335030290696083,3.977335056995014,5,3
Mount St. Mary's,12,216.99788424528137,200,0.21154928439093756,45.90574712643678,68.35019157088122,-3.532812357327496,-1.2283373930316126,2.304474964295883,4,2
Iowa St.,10,189.9578666061019,250,0.2832871310310371,53.81261904761905,76.78614845938375,4.998262162483018,9.396435748097968,4.39817358561495,0,7
Vanderbilt,10,187.81840659340656,240,0.2750567168720079,51.66071428571429,73.16071428571429,3.5072969058855024,6.683852185672359,3.176555279786857,1,7
Cal St. Bakersfield,10,192.42362300534717,200,0.2738569771273539,52.69655172413793,74.54155172413793,-5.805697154306697,-1.4214242363874925,4.384272917919204,2,3
Jacksonville St.,11,196.00792298655864,215,0.2794046098082213,54.76551724137931,73.81551724137931,-2.9845868395305537,1.6739017144287414,4.658488553959295,2,5
Liberty,10,186.46188172043009,200,0.24450210498787406,45.59032258064515,66.21115591397849,-4.2674768542870325,-5.336317492465332,-1.0688406381782993,2,3
Hampton,11,220.58424375624378,255,0.23589100244774644,52.0338383838384,77.1418383838384,-5.510451147256363,-0.332246907221475,5.178204240034888,1,4
Duquesne,13,234.42757588367684,255,0.20594846752993162,48.28,71.63806451612902,-2.129854959516234,3.6408217725267025,5.770676732042936,5,5
Appalachian St.,9,157.96548365427674,175,0.32502881101357156,51.34333333333334,70.39160919540231,-1.3924738952356077,1.4511476434219204,2.843621538657528,1,3
George Mason,11,202.01935979635135,195,0.24750172608634044,50.00014025245441,71.05951525245442,-0.3909917499192467,3.5357825495206754,3.926774299439922,4,4
Louisville,12,247.25958497408627,260,0.2691830743187197,66.55809523809525,94.07868347338936,4.27239530764907,10.767720472893293,6.495325165244223,3,5
Tennessee Tech,13,251.19233911016522,235,0.23000959566011805,57.77664835164836,82.45664835164837,-5.844611536545974,-1.9811682078560569,3.8634433286899172,6,4
South Carolina,12,211.69179322991823,220,0.26918556515844394,56.984375,75.49375,-0.6569258775157817,3.2319458850343827,3.8888717625501643,4,6
Georgetown,11,240.53622039724982,245,0.3526792876226336,84.83214285714286,109.33214285714286,-11.427765625429542,-1.9323957216455636,9.495369903783978,3,3
Tarleton St.,13,247.76523451444237,225,0.23135413008939132,57.321510297482845,81.54503970924755,-3.756835477138737,0.369467350865777,4.126302828004514,5,2
Prairie View A&M,8,152.91918997668998,180,0.37606790886589286,57.508,79.75345454545455,-3.953603850068722,0.47039707521352464,4.424000925282247,2,4
NJIT,13,241.65347431501343,215,0.23431789016080118,56.623732251521304,81.7206072515213,-5.984839172865437,-1.7168242961837386,4.268014876681698,6,2
Saint Francis,12,204.26164450454513,190,0.2546184886298315,52.00879120879121,72.62603258810155,-7.364055873162508,-6.9379411622645595,0.4261147108979486,4,1
Rice,11,195.33555241609963,235,0.2505149838488259,48.93448275862069,68.60344827586206,-3.753575036405319,0.9859120747899864,4.739487111195305,2,7
N.C. State,10,180.89820203081234,210,0.28887441753675996,52.25686274509804,71.73333333333333,2.688354729047935,6.771587144871378,4.083232415823444,1,5
Winthrop,11,202.7563799283154,215,0.2508527722677939,50.861999999999995,70.80070967741935,-1.0994347572063496,2.5151071539089167,3.6145419111152663,3,5
San Diego,13,248.55547943417713,285,0.2109013640516203,52.42068965517241,74.165850945495,-3.1878570510194058,0.5691528084754297,3.7570098594948353,3,6
Oklahoma,10,183.9882876524181,200,0.25668496418775344,47.22702702702702,69.57567567567567,1.9283394519540165,4.953340138204986,3.0250006862509693,2,4
Villanova,10,182.1476005747127,200,0.26274063235845757,47.85757575757576,69.06363636363636,1.9424064888601809,4.407436106857654,2.465029617997473,2,1
Mississippi St.,11,220.7029583030156,205,0.2663096561971427,58.77532894736841,84.23199561403507,-0.17893229440760544,5.460982069054219,5.639914363461824,4,1
Canisius,11,202.79442471072156,165,0.24944801484965176,50.58666666666666,72.05589743589744,-8.51921100217464,-4.157007746736124,4.362203255438516,5,2
Western Illinois,13,250.29688908171968,285,0.1990303069663881,49.81666666666666,73.10797101449275,-9.520464232167736,-4.87016391800474,4.650300314162997,1,6
Utah Valley,11,203.3195244415289,185,0.26776540833159146,54.44193548387097,77.2483870967742,0.00738889124295139,5.040124116539167,5.032735225296216,5,4
New Mexico St.,11,204.74138752052545,235,0.2730105153679994,55.896551724137936,78.5896551724138,-1.2436244244935097,4.168256858649448,5.411881283142957,3,6
San Francisco,11,232.83584159499924,235,0.27300043360528264,63.5642857142857,87.0565934065934,-5.401382660654111,3.148549492119265,8.549932152773376,4,4
Alabama,12,217.2089433129507,220,0.24446756342364243,53.10054112554113,74.39669497169498,3.797629596678962,6.961348544050867,3.1637189473719047,3,4
Western Kentucky,12,215.10130771094637,190,0.24380863191231422,52.44355555555556,74.68022222222223,-2.2473795547159012,2.8900777141984566,5.137457268914358,5,2
Cal St. Northridge,9,169.32466397849464,175,0.3078405636559847,52.125,73.67983870967743,-3.3605679089244997,2.3757384637062953,5.736306372630795,2,2
Connecticut,11,195.96173816422655,215,0.24675520439635515,48.35457875457875,70.25201465201465,4.935154520316067,8.212874432010874,3.277719911694807,2,3
Cal Baptist,13,228.904049824306,195,0.23948104832683043,54.81818181818182,75.95757575757577,-0.25875394302700405,2.979175815716913,3.237929758743917,6,2
Portland St.,11,181.51790849282858,215,0.3239546550355645,58.80357142857144,76.78049450549452,-1.834149907205815,2.5103579883855844,4.344507895591399,3,5
Virginia,12,224.2988971786173,230,0.23469427326138928,52.641666666666666,74.07069892473119,2.3721417026212586,3.525106191753161,1.1529644891319024,3,2
Michigan St.,11,194.33442084165046,195,0.24249803036238105,47.12571428571429,67.02285714285715,3.6395536940208966,7.1344549260905055,3.494901232069609,2,4
Tulsa,10,184.50816993464053,200,0.29512305280776485,54.45261437908497,79.8748366013072,2.3139428551307346,5.881442842088023,3.5674999869572885,3,5
Arkansas,9,171.2770378649326,225,0.3014227852452364,51.626801801801804,73.05653153153153,3.893537448829751,7.909049035648359,4.015511586818608,0,6
Missouri,13,240.06876807780037,245,0.20206331418075305,48.509090909090915,70.68686868686869,-0.4502091402511694,3.2346276465541313,3.6848367868053007,4,5
Pepperdine,11,193.38324712643677,205,0.2585884114044873,50.00666666666667,68.88333333333333,-3.9616297536700493,-0.3030683360942631,3.658561417575786,1,3
Mercer,9,160.85221847870486,185,0.3103941411507882,49.92758620689654,69.96896551724137,-1.5766290644053709,1.007761106463934,2.584390170869305,1,3
Illinois St.,10,191.45306070155337,210,0.28802655843894365,55.143566176470586,76.63785189075631,0.9199395623736611,4.434625710107826,3.514686147734165,1,3
Samford,10,185.3928148065217,220,0.29064700836064106,53.883866995073895,72.63743842364532,-3.0653084941279225,1.5507412679127839,4.616049762040706,3,6
Arizona,12,216.29166306792624,260,0.20993534523337054,45.40726495726496,66.63290598290598,4.896552022564999,7.062033686907348,2.165481664342349,4,6
Southern Utah,10,198.86995369028836,230,0.3457935703326743,68.76795131845842,89.26795131845842,-4.523898923826227,-2.9547572794337076,1.5691416443925195,1,4
Coppin St.,14,281.4824965306551,280,0.1785131720538829,50.248333333333335,73.84,-8.840402597553805,-7.3166772223060015,1.5237253752478033,3,2
Illinois Chicago,11,211.77694429664535,225,0.29470625174566834,62.411989459815544,82.59532279314888,-1.3886827542708464,2.2766388795751507,3.665321633845997,2,4
Saint Joseph's,10,185.06384898190046,190,0.24504360784006657,45.34871323529412,66.57371323529412,-1.140394441756348,7.96395001371118,9.104344455467528,2,2
East Tennessee St.,10,191.1922492494065,230,0.2585748124941496,49.4375,72.06653225806451,-0.8693319064301965,4.856419303502164,5.72575120993236,1,4
Eastern Kentucky,11,216.57947784277798,225,0.23858560198187445,51.67274509803922,74.86904139433551,-4.186347416464139,-2.2694881325681333,1.916859283896006,1,3
Middle Tennessee,9,164.221921182266,195,0.2825654939474249,46.403448275862075,69.41379310344828,-0.9139433032171108,2.4867909217697513,3.400734224986862,2,4
Bryant,10,189.60396681358569,200,0.269810509330954,51.15714285714286,74.17093596059114,-7.502241424101202,-5.04958594075181,2.4526554833493917,2,2
Texas A&M Corpus Chris,12,233.7175301794657,230,0.2107507207234817,49.25613793103448,70.61613793103447,-2.7480926400722643,0.4368389817541686,3.1849316218264327,3,3
UTEP,9,165.74932763532766,185,0.2776137096346102,46.01428571428572,67.66628571428572,-3.8927674503075442,1.8006845347223657,5.69345198502991,2,2
Marshall,12,206.69908568757094,180,0.25056007123655516,51.790537634408594,73.67720430107526,-3.117815265422016,3.802973417633115,6.920788683055131,5,1
SMU,10,174.6468531060443,190,0.28233138984825473,49.308288770053466,68.81900305576775,1.5548825569967986,5.6682040361464185,4.11332147914962,1,3
Quinnipiac,10,183.44929602556635,230,0.28324992859475645,51.962,75.64264516129032,-2.904966781858928,-0.11936785911722897,2.7855989227416993,0,3
Tennessee St.,11,193.48075351213282,225,0.26334106957172615,50.95142857142857,73.29809523809524,-2.298847527449591,2.172342839238565,4.471190366688155,2,3
Michigan,11,206.62353937728938,225,0.22568822574881092,46.63250000000001,69.22625000000001,7.658252558988733,10.542933425037793,2.8846808660490604,3,3
Bradley,10,202.74996002037176,210,0.28372890899537867,57.526024955436725,79.01002495543673,-2.841448516397147,0.5060592812083133,3.34750779760546,2,4
Ohio St.,9,166.1168857403665,175,0.28337144684759646,47.07278225806452,70.33160578747629,3.6691649277186786,6.95036402026466,3.281199092545981,3,3
Maryland Eastern Shore,14,257.84619724478415,260,0.19414120496432505,50.058571428571426,73.6652380952381,-7.538845915572619,-4.215646592402458,3.3231993231701606,4,4
San Diego St.,11,208.6681126124987,215,0.21099594206691852,44.028125,64.98267045454546,2.663683905182637,6.684884563426271,4.021200658243634,3,2
Notre Dame,11,214.97090454488935,225,0.30736803813088875,66.07518518518519,90.33647550776584,0.7858535279953748,4.678717913114286,3.8928643851189113,4,5
Iona,11,197.5543231722611,205,0.25664108666109453,50.70055617352614,72.10055617352614,-2.974354977293081,1.187674263653505,4.162029240946586,3,3
Central Connecticut,11,203.61367775742775,205,0.27450443289691123,55.89285714285714,78.77619047619046,-5.517974589532402,0.046508824894908186,5.56448341442731,4,4
UNLV,10,183.60667868250965,200,0.25977845231875557,47.69705882352941,68.27770398481974,-0.48795013740024706,1.9172531468059018,2.4052032842061486,4,5
Fairfield,10,192.46881621667808,210,0.24812699997565463,47.756709956709955,70.3900432900433,-4.533482863839566,-2.2859782455782773,2.247504618261289,1,3
Bowling Green,10,188.44176969214232,240,0.2735942416393584,51.55658307210031,73.68072100313479,-2.11216925889138,0.8111789136987235,2.923348172590104,1,6
Grambling St.,12,220.9714433320519,220,0.22486203909778035,49.68808933002481,70.07655086848635,-6.2978478857436855,-3.6328299869717187,2.665017898771967,4,4
Seton Hall,11,216.50293316226782,155,0.28225945536820224,61.11000000000001,82.66757575757576,-4.863673513376429,5.242864397196343,10.106537910572772,6,3
South Dakota,10,199.18540839428772,210,0.28270316225232633,56.310344827586206,78.53534482758621,-3.355787301369968,-2.0730053379434645,1.2827819634265034,4,4
UC Davis,11,211.115165315393,245,0.22720208839547343,47.965806451612906,69.62913978494623,-2.578297803880462,0.9910390856758832,3.569336889556345,1,5
Chicago St.,12,232.02244438731867,250,0.21147289353758975,49.06645768025078,73.04793916173226,-8.685262468527599,-1.062870095438138,7.622392373089461,4,4
North Alabama,11,203.1268374218374,195,0.26301300546048123,53.425,75.67142857142858,-5.547556374846687,-2.8477033304501598,2.6998530443965274,3,1
