team,num_players,total_current_usage,total_adjusted_usage,current_team_bpm,optimal_team_bpm,bpm_improvement
Evansville,10,192.33946597262388,99.99999999999997,-9.27778576628004,-1.7881988763919208,7.48958688988812
Eastern Michigan,12,224.36439617609489,99.99999999999999,-8.150110802872856,0.9759535163396106,9.126064319212466
Nebraska,10,187.24169910069293,100.0,5.640874112367877,9.025453992921582,3.384579880553705
UCF,11,204.12001457152905,100.0,1.1906177596765768,5.550820126196929,4.360202366520353
East Texas A&M,11,199.3781807040378,100.0,-9.784288880703714,0.4736742104982416,10.257963091201956
Kent St.,11,196.8628050779865,100.0,-5.279268813702505,1.6799651367003765,6.959233950402881
UC Santa Barbara,11,207.25554324028457,100.00000000000001,-1.5714435695434257,0.779654494354166,2.3510980638975916
Memphis,13,243.21601884841013,100.0,-4.401540890197237,2.9962609740502097,7.397801864247446
Gonzaga,11,212.26478626510885,100.00000000000001,9.591723078979498,6.3206874707946925,-3.271035608184806
Delaware St.,12,241.35094154183412,100.0,-22.821150708968872,-5.329453306499138,17.491697402469732
Rhode Island,10,181.98751147639075,99.99999999999999,-2.201896714238546,4.32889884584216,6.530795560080706
Siena,8,144.3911841606669,99.99999999999997,-1.8757920397482826,2.572541095036474,4.448333134784757
Southern Miss,11,218.07076091800354,100.00000000000001,-11.350263119890942,-1.5134833759229671,9.836779743967975
High Point,11,200.3039783454624,100.00000000000001,3.7501771166253532,4.176273549823606,0.4260964331982531
McNeese St.,9,169.00079205069125,100.0,3.9005180044862957,7.351037018890038,3.450519014403742
Georgia Southern,10,181.52055799592566,100.0,-5.452758143461828,0.9118700412392683,6.364628184701097
Texas A&M,10,197.33041109625668,99.99999999999997,4.534392130647062,6.664356825545097,2.1299646948980353
Texas,9,166.31376623376622,99.99999999999999,4.351024369301733,4.090519812169063,-0.26050455713266985
Hawaii,10,192.6174365385754,99.99999999999999,0.2826688315628769,3.405607103261597,3.12293827169872
Saint Peter's,12,213.0683942038354,99.99999999999999,-6.66753379796563,0.03730804738022861,6.704841845345859
Maine,11,210.06749407234426,100.0,-11.451821434141225,0.4460925454505974,11.897913979591822
