Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
Jailyn Ingram,Georgia,10,-1.73273,79.0,19.5,4066981.0
Deandre Dishman,Middle Tennessee,6,2.07313,78.0,24.4,4067165.0
Brevin Galloway,Clemson,11,3.12677,74.0,20.0,4067219.0
Michael Henn,Penn St.,12,1.25809,80.0,17.4,4066923.0
David Maynard,The Citadel,12,-2.48832,76.0,11.1,4280049.0
Andrew Platek,Siena,14,-0.172562,76.0,18.5,4277906.0
Jack Perry,Portland,10,-1.52798,75.0,9.2,4278600.0
Ra Kpedi,Purdue Fort Wayne,8,-0.54452,81.0,13.4,4278247.0
Emmanuel Akot,Western Kentucky,17,-1.94922,80.0,20.0,4278131.0
Justice Sueing,Ohio St.,3,2.97119,78.0,24.1,4278141.0
Kobe King,Valparaiso,1,-4.23643,76.0,26.3,4277992.0
Parker Stewart,Tennessee Martin,1,-3.02617,77.0,25.0,4278013.0
Marcus Carr,Texas,11,6.55021,74.0,23.1,4278014.0
Jordan Davis,Jacksonville,6,1.00833,75.0,17.5,4278351.0
Luka Vasic,East Texas A&M,17,-5.95957,80.0,15.8,4278934.0
Nike Sibande,Pittsburgh,3,1.36796,76.0,18.9,4279430.0
Tydus Verhoeven,Northwestern,0,4.40402,81.0,10.1,4278488.0
Eric Williams Jr.,San Diego,3,1.58978,79.0,25.7,4278490.0
Darius McNeill,Troy,5,-1.45268,75.0,17.2,4278139.0
Bryan Trimble Jr.,Missouri St.,14,-1.82724,75.0,16.3,4278583.0
Marco Anthony,Utah,3,3.49723,78.0,19.2,4278034.0
Nelly Cummings,Pittsburgh,1,0.721927,72.0,20.4,4279317.0
Desmond Cambridge Jr.,Arizona St.,11,6.91621,76.0,24.2,4279462.0
Ejike Obinna,Saint Joseph's,13,-1.65343,82.0,17.6,4278125.0
Joe Quintana,Cal Baptist,10,0.116678,74.0,19.9,4280163.0
Jerald Gillens-Butler,Elon,10,-5.0357,77.0,21.2,4278553.0
Cooper Neese,Indiana St.,12,2.55407,76.0,16.8,4288068.0
Malek Green,Youngstown St.,3,-0.845944,79.0,23.5,4279878.0
Greg Elliott,Pittsburgh,14,3.68823,75.0,14.9,4278570.0
Makai Ashton-Langford,Boston College,9,1.98994,75.0,24.2,4278574.0
Walter Whyte,Boston University,3,-1.23743,78.0,25.3,4280039.0
Connor McCaffery,Iowa,11,5.41002,78.0,12.2,4277950.0
Marquis Godwin,Hampton,14,-4.12675,77.0,15.7,4279093.0
Ricky Nelson,Prairie View A&M,5,-4.87556,73.0,12.0,4278672.0
Will Douglas,Prairie View A&M,9,-0.176963,77.0,30.0,4278296.0
Justyn Mutts,Virginia Tech,2,6.9022,79.0,24.1,4278693.0
Sarju Patel,Albany,14,-3.26787,75.0,15.5,4280104.0
Jamal Johnson,Chattanooga,11,1.34552,76.0,20.9,4278281.0
Dan Akin,Utah St.,2,4.37312,81.0,19.7,4279163.0
Abayomi Iyiola,Kansas St.,8,1.80984,82.0,16.4,4278475.0
Taylor Funk,Utah St.,12,6.67234,81.0,20.3,4278395.0
Hunter Maldonado,Wyoming,9,3.45802,79.0,26.8,4280267.0
Dwight Wilson III,Ohio,8,3.136,80.0,27.3,4279213.0
Caleb Daniels,Villanova,11,3.93981,76.0,24.5,4278373.0
Felipe Haase,Southern Miss,11,4.44184,81.0,22.1,4278110.0
Marcus Shaver Jr.,Boise St.,9,5.05952,74.0,26.3,4280208.0
Sam Iorio,Niagara,3,1.79108,79.0,16.8,4280029.0
Devon Cooper,George Mason,14,0.940095,76.0,17.9,4279876.0
A.J. Oliver II,Detroit Mercy,12,0.371305,77.0,16.0,5113995.0
Clifton Moore,Providence,0,4.95997,83.0,18.2,4277945.0
Noah Baumann,Grand Canyon,14,2.23611,78.0,15.5,4278713.0
Jacob Grandison,Duke,12,3.93519,78.0,14.7,4280073.0
Cameron Christon,Grambling St.,3,2.62198,78.0,22.5,4278638.0
Roman Penn,Drake,9,5.16176,72.0,24.9,4279754.0
Lewis Djonkam,Morgan St.,8,-2.15968,81.0,18.0,4278422.0
David Jenkins Jr.,Purdue,10,0.118595,73.0,14.9,4279527.0
Hayden Brown,South Carolina,3,0.517103,77.0,22.5,4280014.0
Greg Parham,South Alabama,1,-0.410433,76.0,19.9,4280099.0
Bubba Parham,Samford,1,1.60053,71.0,16.9,4280103.0
Ledarrius Brewer,UAB,6,3.07104,77.0,16.8,4279897.0
Samuta Avea,Hawaii,3,-0.0215695,78.0,20.4,4278746.0
Kris Bankston,Norfolk St.,2,3.28121,81.0,20.4,4280289.0
Umoja Gibson,DePaul,9,4.25129,73.0,24.2,4279087.0
Souley Boum,Xavier,11,5.38955,75.0,21.1,4280244.0
Derrick Walker,Nebraska,2,5.16616,81.0,27.8,4278113.0
Isaac Kante,Massachusetts,8,-0.289521,80.0,16.8,4278066.0
Antwan Walker,Bryant,2,0.0125724,80.0,23.2,4278567.0
A.J. Caldwell,Chattanooga,17,0.71169,77.0,11.6,4280264.0
Dedric Boyd,Tennessee St.,12,-2.64212,76.0,16.0,4279854.0
Donald Carey,Maryland,14,2.6401,77.0,15.8,4279865.0
Bobby Planutis,Purdue Fort Wayne,12,0.596575,80.0,15.1,4279863.0
Jarkel Joiner,N.C. State,11,4.09919,73.0,23.1,4278729.0
Chuck O'Bannon Jr.,TCU,6,6.24759,78.0,17.6,4278533.0
Garrett Covington,Youngstown St.,14,-1.9691,77.0,13.4,4285365.0
Jarvis Doles,UMBC,3,-1.37369,80.0,21.6,4279195.0
Takal Molson,James Madison,6,1.69284,76.0,23.9,4279481.0
Jack Nunge,Xavier,2,8.51974,84.0,21.9,4277948.0
Miryne Thomas,Kent St.,3,3.53052,80.0,18.9,4279796.0
Oliver Lynch-Daniels,Colgate,12,1.74501,74.0,16.4,4278275.0
Keaton Hervey,Oakland,3,-2.58069,76.0,16.7,4278278.0
Tyree Appleby,Wake Forest,9,5.34277,73.0,28.7,4280299.0
Marek Nelson,Nicholls St.,6,-0.501915,79.0,20.5,4279122.0
Brion Whitley,Southern,1,-2.86071,76.0,22.8,4279890.0
Jamir Moultrie,Canisius,1,-5.03785,73.0,21.9,4278365.0
Victor Bailey Jr.,George Mason,14,0.89908,76.0,17.0,4278512.0
James Beck,New Mexico St.,15,-1.50196,80.0,11.4,4279495.0
Virshon Cotton,Grambling St.,5,-2.9644,74.0,20.9,4279307.0
Kevion Nolan,Jacksonville,9,1.3869,74.0,27.7,4280064.0
Javan Johnson,DePaul,14,1.74107,78.0,20.6,4280280.0
Tyreke Key,Tennessee,1,1.84483,74.0,18.9,4279143.0
Mamadou Doucoure,La Salle,8,-2.84264,81.0,13.8,4277988.0
Jamir Harris,Seton Hall,10,0.13665,74.0,12.2,4277966.0
Omar El-Sheikh,Arkansas St.,8,-3.67291,80.0,25.0,4279489.0
Eral Penn,DePaul,8,1.1591,78.0,16.1,4279628.0
Darius Quisenberry,Fordham,1,2.09949,74.0,23.5,4397790.0
Jelani Simmons,Southern Indiana,14,-0.795561,77.0,19.5,4397789.0
Caleb Fuller,Montana St.,3,0.487647,77.0,14.9,4397580.0
Brandon Slater,Villanova,3,5.22732,80.0,18.0,4397133.0
Luis Hurtado Jr.,Mercer,3,-0.372904,79.0,19.0,4279105.0
Tim Fuller,Utah Valley,13,7.20214,81.0,13.5,4397392.0
Kihei Clark,Virginia,9,2.68417,70.0,22.1,4395677.0
Will McNair Jr.,Mississippi St.,16,0.144682,83.0,16.9,4396012.0
Nate Laszewski,Notre Dame,12,3.22934,82.0,18.6,4395665.0
Tanner Groves,Oklahoma,2,7.14767,82.0,21.9,4278603.0
Leaky Black,North Carolina,6,6.33066,81.0,12.8,4395650.0
Mohammed Abdulsalam,UNC Greensboro,8,-1.28275,81.0,19.7,4398232.0
Victor Bafutto,Louisiana Monroe,0,1.7904,82.0,16.1,4280036.0
Angelo Allegri,Eastern Washington,11,1.32711,79.0,22.8,4398233.0
Deandre Thomas,Mount St. Mary's,10,-3.36654,77.0,17.8,4703168.0
Robert Allen,Mississippi,6,2.20996,80.0,18.2,4398245.0
Larry Moreno,St. Francis NY,11,-0.188832,72.0,20.7,4398007.0
Hunter Tyson,Clemson,12,6.58126,80.0,19.2,4395620.0
