Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
Robby Carmody,Le Moyne,1,-3.84041,76.0,21.0,4395668.0
Drue Drinnon,Texas St.,14,-3.78586,72.0,13.7,4397358.0
K.J. Hymes,Nevada,13,1.06755,82.0,16.1,4397343.0
Jack Clark,VCU,12,6.72189,82.0,16.0,4397152.0
Robert Braswell,Charlotte,12,-0.0856161,79.0,20.2,4395675.0
Wynston Tabbs,Morgan St.,1,-5.39943,75.0,27.0,4395619.0
Tyrel Bladen,Norfolk St.,16,-3.5637,82.0,14.9,4398396.0
Jerome Hunter,Xavier,15,2.62401,80.0,16.8,4397011.0
Kobe Julien,Arkansas St.,6,2.12298,78.0,22.6,4397659.0
Messiah Jones,Towson,6,2.20473,78.0,14.9,4398279.0
Chris Austin,Portland,14,-1.52617,76.0,18.2,4396811.0
Ebrima Dibba,Cleveland St.,4,-4.06288,78.0,12.8,4397504.0
Neftali Alvarez,Southern Miss,5,-2.81139,74.0,22.1,4398075.0
Savion Lewis,Quinnipiac,5,-3.83765,73.0,16.9,4398398.0
Grayson Carter,Texas Southern,7,-1.58315,82.0,19.0,4397075.0
Colby Rogers,Memphis,10,0.0672476,76.0,17.1,4592921.0
Jeremiah Hernandez,Ball St.,1,-2.90201,77.0,18.9,4433007.0
Miguel Tomley,Weber St.,1,-6.53462,75.0,24.2,4433104.0
Anderson Kopp,UMKC,11,2.94526,77.0,26.0,4593765.0
Marcus Foster,Xavier,14,4.19885,77.0,15.7,4431953.0
Cole Henry,Wyoming,8,-0.168816,81.0,20.2,4433004.0
Richie Springs,Quinnipiac,7,-5.83766,81.0,15.6,4592905.0
Doctor Bradley,Arkansas Pine Bluff,2,3.51231,80.0,30.2,5108978.0
Alvin Stredic,Mississippi Valley St.,7,-11.2137,80.0,22.3,4594058.0
Jalen Jackson,Western Kentucky,5,-0.464762,71.0,12.4,4592869.0
Max Agbonkpolo,Montana St.,3,-1.44555,81.0,22.3,4431700.0
Jalen Hill,UNLV,6,3.4952,78.0,17.8,4592214.0
Emmanuel Tshimanga,New Mexico St.,13,4.32745,84.0,11.7,4592961.0
Ofure Ujadughele,UC Irvine,4,-0.0248853,75.0,12.0,4432132.0
Robert Carpenter,New Mexico St.,3,3.2262,79.0,23.6,4592486.0
Trevin Knell,BYU,12,8.41853,77.0,17.9,4593744.0
David Skogman,DePaul,3,2.15689,82.0,19.1,4593409.0
Mickey Pearson Jr.,Ball St.,3,-1.20393,80.0,19.9,4431796.0
Gibson Jimerson,Saint Louis,14,-0.113651,77.0,20.2,4432008.0
Quinton Morton-Robertson,Purdue Fort Wayne,14,0.0292428,68.0,15.8,4592761.0
Chol Marial,San Jose St.,16,-2.31467,86.0,14.3,4431702.0
Keaston Willis,Tulsa,14,0.583213,75.0,19.9,4593756.0
Jarred Hyder,Cal Poly,1,-1.04051,75.0,22.1,4593047.0
Brandton Chatfield,Iowa St.,13,5.71776,82.0,13.2,4592671.0
