Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
Noah McDavid,Tarleton St.,10,-1.52297,77.0,13.5,4896949.0
Jayshawn Moore,Tarleton St.,16,-5.05841,78.0,17.0,4896960.0
Wade Taylor IV,Texas A&M,9,1.64489,72.0,29.5,4683833.0
Tommy Schmock,Ohio,14,-0.7981,71.0,15.0,4407066.0
Kooper Jacobi,Toledo,7,-6.12113,78.0,16.3,4898343.0
Chris Nix,Tennessee Martin,8,-0.496905,81.0,20.7,4897331.0
DeAngelo Ware,Prairie View A&M,5,-4.14456,72.0,13.0,4897811.0
Zee Hamoda,Utah St.,7,-4.55808,79.0,23.1,4897548.0
Glenn Taylor Jr.,Oregon St.,11,0.85612,78.0,16.8,4833075.0
Marcus Banks,Western Carolina,14,-3.38921,74.0,17.4,4897361.0
Marlow Gilmore,Western Carolina,13,1.18732,77.0,17.0,4897360.0
Jaden Byers,Pacific,7,-7.71211,74.0,22.9,4897170.0
Khaleb Wilson-Rouse,Pacific,1,-2.50914,74.0,14.9,4897169.0
Stephen Faramade,Texas A&M Corpus Chris,16,-5.17498,81.0,18.5,4897304.0
Terrion Murdix,Texas A&M Corpus Chris,9,1.77637,73.0,27.2,4897301.0
Kevin Miller,Central Michigan,9,-2.64091,72.0,25.1,4898283.0
Tyrese Nickelson,Texas A&M Corpus Chris,5,-6.10424,74.0,14.4,4897298.0
Dan Luers,Eastern Illinois,5,-5.38665,76.0,16.5,4707008.0
Trevian Tennyson,Texas A&M Corpus Chris,1,-3.53142,76.0,24.0,4897296.0
Jason Roche,The Citadel,14,-0.574321,77.0,14.8,4897373.0
Tyrel Morgan,Texas St.,15,-0.770367,77.0,18.5,4897157.0
Langdon Hatton,William & Mary,7,-8.34348,82.0,17.2,4897719.0
Langston Redfield,UC Irvine,17,-2.6827,75.0,9.7,4897677.0
Bryce Johnson,Chicago St.,17,-3.47624,75.0,16.9,4896859.0
Devin Carter,South Carolina,9,1.38204,75.0,27.6,4433188.0
Payton Sparks,Ball St.,8,-1.96767,81.0,24.7,4898008.0
Jaylin Sellers,Ball St.,12,-0.681041,76.0,15.3,4898010.0
Jacobi Wright,South Carolina,4,-4.01007,74.0,17.3,4683836.0
Jahsean Corbett,Chicago St.,3,-4.63539,78.0,22.3,4896860.0
Jameon ''J.J.'' Harris,Chicago St.,10,-5.81103,75.0,19.9,4896857.0
Kedrick Green,Chicago St.,5,-7.63936,74.0,21.9,4896864.0
Lazar Stefanovic,Utah,10,-1.25394,79.0,18.3,4708167.0
Blake Wesley,Notre Dame,9,1.47636,77.0,30.7,4683935.0
RayQuan Taylor,UT Rio Grande Valley,8,-2.06223,81.0,16.4,4896966.0
Dashawn Davis,Oregon St.,9,0.329667,74.0,23.0,4898119.0
Trae English,McNeese St.,5,-5.59432,72.0,19.8,4897337.0
Sebastian Thomas,Rhode Island,5,-4.295,73.0,16.6,4897065.0
Khalil Brantley,La Salle,5,-3.14262,73.0,26.0,4709132.0
