Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
Josh Warren,Cornell,15,-0.816036,80.0,20.1,4066813.0
Andre Adams,Southern Utah,13,3.12812,81.0,20.2,3948149.0
David Bell,Jacksonville,0,4.21863,82.0,24.8,3136778.0
Jake Toolson,BYU,11,7.0102,77.0,22.6,3135098.0
Emmitt Holt,Providence,3,4.01703,79.0,15.3,3147674.0
Torry Johnson,Wake Forest,5,-0.289105,75.0,13.8,3155501.0
Josh Gantz,UMass Lowell,12,-0.353085,79.0,13.3,3130753.0
Dwayne Morgan,Southern Utah,7,-4.55187,80.0,25.8,3137731.0
Dalton Nixon,BYU,12,4.93229,79.0,17.4,3135097.0
Tashombe Riley,South Carolina St.,3,-3.97989,79.0,24.1,3155580.0
Tulio Da Silva,Missouri St.,8,0.312592,80.0,21.8,3947072.0
Reilly Walsh,NJIT,10,-4.49977,75.0,14.9,3947202.0
Prentiss Nixon,Iowa St.,1,-0.101235,74.0,20.0,3919437.0
Isaiah Maurice,Memphis,16,-1.9539,82.0,20.4,3912845.0
Tyler Hamilton,William & Mary,4,-2.5798,76.0,12.6,3906969.0
Elijah Mitrou-Long,UNLV,11,4.42501,73.0,20.9,3947671.0
Vincent Eze,Fairfield,8,-2.41818,80.0,20.8,3941313.0
Nate Grimes,Fresno St.,2,4.52395,80.0,22.5,3917350.0
C.J. Bobbitt,New Mexico St.,17,-1.05412,79.0,16.2,3915208.0
Nick Rutherford,St. John's,5,1.73295,75.0,16.9,3946977.0
Kimar Williams,Rider,5,-4.16308,73.0,16.6,3946983.0
Eric Hamilton,Pittsburgh,8,-0.824191,81.0,17.8,3914046.0
Dwayne Sutton,Louisville,2,10.8695,77.0,14.6,3913239.0
Dylan Smith,Arizona,10,3.86958,77.0,17.7,3913238.0
Dexter McClanahan,Nicholls St.,1,-0.874524,76.0,22.2,3948622.0
Trevor Stumpe,Wofford,12,3.99273,77.0,14.9,3918761.0
Brevin Pritzl,Wisconsin,14,4.71124,75.0,15.8,3908320.0
Mike Watkins,Penn St.,0,7.17135,81.0,22.2,3912279.0
Tres Tinkle,Oregon St.,9,6.12944,79.0,28.3,3914289.0
Kendal Manuel,Montana,14,0.289557,76.0,21.6,3914286.0
Marcus Sheffield II,Elon,1,0.565378,77.0,30.2,3922051.0
Spencer Haldeman,Northern Iowa,14,2.27105,73.0,15.1,3913789.0
Louie Pillari,Monmouth,10,-6.08376,78.0,19.5,3948713.0
Scott Meredith,Saint Francis,10,-6.43188,74.0,15.0,3924890.0
Josh Nebo,Texas A&M,0,6.81236,81.0,21.2,3924895.0
Isaiah Blackmon,Saint Francis,11,3.71521,73.0,24.6,3924894.0
Stone Gettings,Arizona,15,4.35555,81.0,17.0,3906956.0
Matej Kavas,Nebraska,14,-1.79677,80.0,16.8,3947715.0
Antonio Green,Middle Tennessee,1,-2.86086,74.0,21.1,3936173.0
Kareem South,California,10,0.925824,75.0,18.2,3951584.0
Delante Jones,Seattle,14,-3.13015,77.0,18.0,3907473.0
Joshua Patton,Sacramento St.,8,2.97735,80.0,22.8,3913196.0
Alonzo Walker,Portland St.,3,-1.16173,78.0,20.9,3948766.0
Rosel Hurley,St. Francis NY,4,-11.9661,77.0,23.0,3913229.0
Noah Blackwell,Fresno St.,11,1.93347,75.0,16.5,3946947.0
Ty Taylor,Eastern Kentucky,10,-2.88604,75.0,20.8,3914043.0
Mickey Mitchell,Arizona St.,7,2.09614,79.0,10.2,3912272.0
Bakari Evelyn,Iowa,5,-0.458408,74.0,14.4,3911894.0
Michael Jacobson,Iowa St.,3,0.744399,81.0,17.9,3911895.0
Aaron Falzon,Quinnipiac,12,-1.44519,80.0,15.3,3913248.0
Jordan Ash,Wright St.,6,0.954303,75.0,14.1,3913247.0
Alex Olesinski,UCLA,17,3.84923,82.0,9.3,3922229.0
Prince Ali,UCLA,6,1.55419,76.0,21.7,3922231.0
Ethan Stair,Mercer,12,4.01795,76.0,19.5,3924906.0
Sam Miller,Charleston,15,1.44554,81.0,18.8,4397383.0
Ike Smith,Georgia Southern,3,0.406602,76.0,23.8,3906661.0
Nate Sestina,Kentucky,12,6.77777,81.0,14.9,3914279.0
Max Hazzard,Arizona,12,4.85783,72.0,16.3,3946957.0
Joe Mooney,UC Davis,11,1.4454,75.0,23.0,3919349.0
Rogers Printup,UC Davis,14,0.650464,76.0,10.8,3919348.0
Ahmad Frost,Maryland Eastern Shore,10,-5.90554,72.0,21.7,3947051.0
Wendell Mitchell,Texas A&M,1,1.58629,75.0,22.5,3920137.0
Nathan Bain,Stephen F. Austin,6,5.90497,78.0,15.0,3907340.0
TJ Holyfield,Texas Tech,0,7.4636,80.0,19.5,3907339.0
Jonah Radebaugh,Northern Colorado,9,7.84158,75.0,25.7,3912836.0
Derrick Woods,Saint Peter's,15,-4.63974,80.0,22.8,3919424.0
Jeantal Cylla,Arkansas,7,-5.87175,79.0,13.8,3946975.0
Kyle Ahrens,Michigan St.,14,2.65338,78.0,14.3,3937100.0
Raiquan Clark,LIU,3,-2.88543,78.0,28.6,3948799.0
Jared Savage,Western Kentucky,12,6.00478,77.0,15.4,3921425.0
Jaylen Shead,Washington St.,4,-2.49731,73.0,15.2,3948024.0
Roland Griffin,Jackson St.,7,-2.0819,78.0,29.2,3907611.0
Bronson Kessinger,Indiana St.,12,0.310617,79.0,14.4,3907599.0
Matt Hein,Siena,17,-2.68948,76.0,10.1,3907608.0
Derryck Thornton,Boston College,5,-2.71871,75.0,26.5,3913175.0
Kipper Nichols,Illinois,7,0.145254,78.0,17.6,3913549.0
Von Julien,Southeastern Louisiana,5,-4.20356,73.0,18.0,3913548.0
Chase Jeter,Arizona,8,3.27109,82.0,19.3,3913173.0
Ty Hudson,Jacksonville St.,5,-3.77727,73.0,19.0,3917986.0
Corey Brown,Canisius,8,-2.23354,80.0,17.8,3912824.0
Marcus DeBerry,Purdue Fort Wayne,17,-0.985049,77.0,15.2,3912825.0
Xavier Hill-Mais,Oakland,2,4.15665,79.0,27.3,3913700.0
Matt Neufeld,UC Davis,8,-8.00887,83.0,22.2,3913185.0
Jermaine Bishop,Norfolk St.,1,0.145895,73.0,22.0,3913184.0
Samir Doughty,Auburn,11,4.18847,76.0,24.2,3913188.0
Jalen Coleman-Lands,DePaul,14,-0.111678,76.0,18.2,3911842.0
Brandon Austin,Samford,14,-3.8727,77.0,18.3,3907407.0
Nick Blair,UNLV,13,3.12646,77.0,12.2,3912821.0
Grant Riller,Charleston,9,5.86233,75.0,33.9,3912295.0
Ryan Fazekas,Valparaiso,14,0.176032,80.0,13.9,3913218.0
Michael Benkert,Belmont,17,-0.498493,76.0,11.5,3906782.0
Seth Adelsperger,Belmont,13,0.154811,83.0,12.0,3906781.0
Jamal Smith,Cal Poly,5,-4.04209,75.0,18.9,3946038.0
Ronnie Suggs,Southern Illinois,10,-1.50728,78.0,14.3,3907108.0
Bill Wampler,Wright St.,14,1.55056,78.0,21.9,3948776.0
Eddie Davis III,The Citadel,7,-6.19186,79.0,25.3,4599984.0
DeAndre Abram,Milwaukee,7,-3.12066,80.0,21.1,3908865.0
Jordan Roland,Northeastern,11,3.6075,73.0,27.5,3913553.0
Christian Williams,Indiana St.,11,2.58124,78.0,17.5,3935019.0
Jordan Dallas,Seattle,14,-3.29868,82.0,12.1,3917310.0
Dazon Ingram,UCF,6,4.28414,78.0,19.8,3907406.0
Chad Lott,South Alabama,8,0.507485,76.0,21.8,3920205.0
Lamonte Turner,Tennessee,9,0.737019,74.0,29.5,3948642.0
Robin Jorch,Boise St.,13,0.565793,83.0,13.5,3948781.0
Marcus Wallace,Arkansas Pine Bluff,4,-5.9132,73.0,18.6,3949238.0
Hayden Howell,Abilene Christian,7,-5.77325,79.0,20.9,3922060.0
Kerry Blackshear Jr.,Florida,2,6.30356,82.0,25.6,3945564.0
Chris Clarke,Texas Tech,6,5.22075,78.0,19.5,3945567.0
Emmanuel Nzekwesi,Oral Roberts,2,1.65674,80.0,25.0,4067707.0
Trhae Mitchell,South Alabama,3,2.62236,78.0,19.9,3936277.0
Eric McGill,Southern Illinois,1,2.21886,74.0,21.4,3907561.0
Collin Goss,Delaware,13,-0.848733,83.0,14.9,3913552.0
Keith Stone,Miami FL,6,3.24135,80.0,15.0,3924900.0
Tahjai Teague,Ball St.,2,6.63766,80.0,28.2,3907022.0
Dainan Swoope,Sam Houston St.,1,-1.28497,72.0,16.5,3948126.0
Andre Fox,South Alabama,1,-0.839443,76.0,22.9,3913171.0
Elijah Burns,Siena,2,2.47229,80.0,23.6,3908337.0
Matt Hauser,Portland St.,14,2.96623,74.0,20.1,3936175.0
KJ Feagin,San Diego St.,1,2.36777,73.0,18.1,3936174.0
Venjie Wallis,Jackson St.,6,0.587287,78.0,20.0,3915648.0
Desure Buie,Hofstra,9,5.16721,71.0,26.4,3911567.0
Isaiah Moss,Kansas,14,3.24163,77.0,15.0,3935015.0
Nakye Sanders,Towson,2,2.65685,80.0,24.3,3908862.0
Carlton Bragg Jr.,New Mexico,2,3.32877,82.0,21.5,3919336.0
John Crosby,Delaware St.,1,-4.35643,75.0,29.7,3908855.0
Josh Williams,Robert Morris,11,2.94706,74.0,19.8,3907021.0
Andrew Robinson,Coppin St.,14,-3.37122,79.0,17.5,3947026.0
Aaron Robinson,Coppin St.,17,-4.694,78.0,14.2,3947024.0
C.J. Bryce,N.C. State,3,2.98359,77.0,21.7,3946973.0
Brad Brechting,Oakland,8,0.053099,83.0,21.3,3913699.0
Chris McNeal,Cincinnati,4,-2.04525,73.0,15.6,4278698.0
Justin Jenkins,Gardner Webb,17,-4.76189,74.0,15.9,3922037.0
Eric Jamison Jr.,Gardner Webb,3,-5.31971,78.0,22.4,3922038.0
Cody Kelley,South Dakota,14,0.985216,71.0,15.2,3914059.0
Marcus Evans,VCU,9,0.876906,74.0,26.2,3920203.0
Malik Ellison,Hartford,8,-0.516107,78.0,29.7,3938916.0
Sylvester Ogbonda,Ohio,15,0.162611,82.0,15.9,3904627.0
Christion Thompson,Tulane,6,4.27089,76.0,22.8,3924873.0
Luwane Pipkins,Providence,9,4.54353,71.0,21.5,3947221.0
Jaire Grayer,TCU,17,2.30627,77.0,16.2,3947214.0
Steven Enoch,Louisville,2,2.57965,82.0,23.3,3934623.0
Laquincy Rideau,South Florida,9,5.41297,73.0,28.0,3922039.0
Josh Ajayi,South Alabama,2,0.997585,78.0,22.1,3936278.0
New Williams,Fresno St.,1,1.36988,73.0,21.4,3908524.0
JaQuan Lyle,New Mexico,9,-0.0204507,77.0,24.9,3134899.0
Gary Chivichyan,Pacific,14,-0.997834,76.0,20.2,3946030.0
Brandon Boyd,Cal Baptist,1,-2.65018,73.0,20.7,3946031.0
Terrell Allen,Georgetown,9,0.901196,75.0,18.4,3912281.0
Quinton Adlesh,USC,10,0.0911763,73.0,11.3,3948606.0
Djery Baptiste,Massachusetts,16,0.793243,82.0,12.7,3911624.0
Camron Justice,Western Kentucky,1,-2.88324,75.0,20.6,3911625.0
James Bolden,Alabama,10,-0.7316,72.0,20.3,3913554.0
Lamont West,Missouri St.,12,1.14428,80.0,21.8,3913555.0
Deondre Burns,Oral Roberts,1,0.822705,75.0,24.6,3949224.0
David N'Diaye,Southern Utah,16,-1.64419,84.0,7.9,3907607.0
Josh Thompson,Ball St.,5,-1.27499,72.0,15.3,3948760.0
Jonathan Laurent,Oklahoma St.,3,0.820949,78.0,17.8,3946036.0
Simeon Carter,Georgia Southern,0,0.894339,80.0,18.1,3947238.0
Quinton Forrest,Idaho,7,-3.36576,76.0,16.1,3921514.0
Caleb Homesley,Liberty,2,4.91168,78.0,27.9,3947736.0
Anthony Mathis,Oregon,14,4.75552,76.0,14.4,3906578.0
Austin Vereen,Pacific,10,1.97134,76.0,12.3,3948857.0
Jared Samuelson,Montana,12,0.525167,79.0,20.2,3917344.0
Malik Maitland,Bethune Cookman,5,-2.5144,69.0,23.2,3914072.0
Pierre Sarr,Binghamton,3,-4.09554,80.0,22.2,3948710.0
Nisre Zouzoua,Nevada,14,0.885057,75.0,18.7,3947120.0
