Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
Seth Towns,Howard,3,-0.492635,81.0,22.1,4066829.0
Terrence Lewis,Grambling St.,12,-0.902352,78.0,19.0,4277888.0
Austin Williams,Rutgers,7,-1.18222,76.0,16.5,4279709.0
Avery Wilson,Southeastern Louisiana,5,-5.41744,76.0,16.7,4277829.0
Jalen Jordan,Middle Tennessee,1,-1.9974,74.0,20.4,4279651.0
Cam Martin,Boise St.,2,4.42385,81.0,20.8,4897492.0
Chuck O'Bannon Jr.,TCU,3,5.06605,79.0,16.6,4278533.0
Robby Carmody,Mercer,1,-2.83444,76.0,22.1,4395668.0
Will McNair Jr.,Kansas St.,0,4.19203,83.0,17.0,4396012.0
Robert Allen,North Texas,8,6.71858,80.0,19.7,4398245.0
Jermaine Couisnard,Oregon,9,5.25897,76.0,27.5,4396948.0
Markeese Hastings,Robert Morris,2,-0.729857,79.0,23.9,4397025.0
Josiah Strong,Colorado St.,17,0.776652,76.0,15.1,4398146.0
Donovann Toatley,Detroit Mercy,1,-9.59866,70.0,32.2,4398156.0
Jose Perez,Arizona St.,1,1.19835,77.0,23.4,4397528.0
Vincent Lee,Cal St. Fullerton,13,-0.463089,81.0,16.1,4397342.0
K.J. Hymes,Nevada,13,1.35512,82.0,18.8,4397343.0
Kaosi Ezeagu,New Mexico St.,8,-1.43487,82.0,18.3,4397867.0
Jack Clark,Clemson,3,6.50857,82.0,12.1,4397152.0
Jahvon Quinerly,Memphis,9,1.50328,73.0,21.9,4397132.0
Dre Fuller Jr.,UTSA,3,-2.885,78.0,22.8,4396670.0
Bryce Workman,Jacksonville,2,0.0544779,79.0,23.3,4396696.0
Connor Vanover,Missouri,0,4.93389,89.0,14.7,4397052.0
Jahmar Young Jr.,Texas Southern,16,-5.30977,83.0,18.6,4396640.0
Moses Wood,Washington,12,4.4977,80.0,15.3,4396657.0
Quentin Millora-Brown,The Citadel,13,3.15187,82.0,19.5,4397691.0
Mason Forbes,Saint Mary's,13,5.22358,81.0,14.5,4397970.0
Xavier Johnson,Indiana,5,-0.236029,75.0,19.6,4395669.0
Allen Betrand,Norfolk St.,1,-2.68708,77.0,23.1,4397589.0
Robert Braswell IV,Charlotte,12,-0.447965,79.0,18.8,4395675.0
Jordan Lathon,Morehead St.,3,0.924008,77.0,25.7,4397863.0
Ithiel Horton,Texas,14,1.2942,77.0,15.7,4397401.0
Kjell de Graaf,NJIT,15,1.00018,82.0,19.0,4396755.0
Aaron Clarke,Stony Brook,1,0.401659,73.0,22.2,4397995.0
Cameron Wilbon,Cal St. Bakersfield,7,-4.07878,77.0,17.3,4397994.0
Jeremiah Gambrell,Alcorn St.,14,0.824904,75.0,19.5,4397884.0
Jaelin Llewellyn,Michigan,5,-4.19658,74.0,18.7,4398002.0
Spencer Johnson,BYU,3,5.71512,77.0,20.6,4701219.0
Chris Doherty,Northeastern,2,0.14103,79.0,26.9,4395666.0
John Newman III,Cincinnati,6,5.69127,77.0,16.1,4395622.0
Wynston Tabbs,Morgan St.,1,-5.04247,75.0,30.9,4395619.0
Raheem Solomon,Sacred Heart,1,-6.2383,75.0,20.0,4398403.0
Tyrel Bladen,Norfolk St.,16,-4.16279,82.0,16.2,4398396.0
Tuukka Jaakkola,Cal Poly,8,-5.26934,82.0,19.9,4397363.0
Luis Rodriguez,UNLV,6,5.70491,78.0,17.9,4396969.0
Amari Kelly,George Mason,2,4.04092,81.0,22.7,4396804.0
Antwann Jones,UCF,17,0.775485,78.0,18.0,4396634.0
Jayden Hardaway,Memphis,14,-2.53659,77.0,11.9,4396635.0
Warren Washington,Texas Tech,0,8.38889,84.0,18.9,4397093.0
Keenan Fitzmorris,Stony Brook,15,0.578792,84.0,23.2,4397113.0
Cormac Ryan,North Carolina,14,4.85883,77.0,17.1,4397114.0
DaQuan Smith,Radford,1,-1.39288,73.0,24.3,4398347.0
Caleb Fields,Fairfield,11,2.47806,74.0,22.1,4397815.0
Daniel Schreier,NJIT,16,-7.48676,81.0,12.5,4398105.0
Elijah Buchanan,NJIT,1,-2.26332,77.0,25.6,4398103.0
Juan Munoz,Hawaii,11,0.66415,72.0,24.1,4067594.0
DJ Burns Jr.,N.C. State,2,3.79897,81.0,28.0,4396933.0
Deon Stroud,Texas Southern,17,-3.04632,77.0,18.2,4397866.0
Aanen Moody,Montana,11,0.677784,75.0,23.0,4278631.0
Blake Hinson,Pittsburgh,12,2.59351,80.0,23.3,4396963.0
Franco Miller Jr.,Florida Gulf Coast,4,-5.15316,75.0,19.2,4396967.0
Jimmy Nichols,Coastal Carolina,15,-1.71824,80.0,23.8,4397108.0
