Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
Josh Warren,Cornell,15,-0.276415,80.0,22.4,4066813.0
Luke Worthington,BYU,8,-1.37894,82.0,15.4,66687.0
Dontel Highsmith,Cleveland St.,14,-2.81951,74.0,11.8,67060.0
Emmanuel Toney,Texas A&M Corpus Chris,5,-2.58647,74.0,19.0,67414.0
Damarion Geter,Longwood,15,-0.473882,80.0,13.3,66583.0
Parker Van Dyke,Utah,12,3.8239,75.0,15.3,3064446.0
Andre Adams,Southern Utah,8,-1.99943,81.0,23.5,3948149.0
Mitch Hahn,Nebraska Omaha,3,-0.39051,80.0,20.8,3130560.0
Ryan Andino,Maryland Eastern Shore,14,-6.54638,74.0,20.0,3153381.0
Chancellor Barnard,Binghamton,15,-0.433839,76.0,13.4,3130572.0
Keon Williams,St. Francis NY,12,-1.31908,76.0,10.8,3155881.0
Glenn Sanabria,St. Francis NY,1,-1.01651,71.0,23.1,3133979.0
Jacquil Taylor,Hofstra,13,5.15542,82.0,14.5,3136992.0
Tre'Shawn Thurman,Nevada,2,7.07057,80.0,15.7,3155987.0
Cheddi Mosely,La Salle,10,-2.74478,75.0,18.3,3130550.0
Dave Bell,Jacksonville,8,-3.51023,81.0,22.4,4278441.0
Jeremy Combs,Texas Southern,2,2.46421,79.0,24.5,3132447.0
Dan Dwyer,Hofstra,13,2.12848,80.0,8.6,3155745.0
Aaren Edmead,North Carolina A&T,4,-8.07563,70.0,21.4,3136084.0
Corey Henson,Nevada,12,0.934567,75.0,11.1,3136083.0
Antonio Woods,Penn,17,0.751848,73.0,17.9,3155740.0
Nathan Moran,Lipscomb,1,-0.754957,70.0,19.2,3130516.0
Trevor John,Drexel,14,0.40968,75.0,13.9,3137243.0
Aleks Abrams,Miami OH,16,-1.41571,80.0,13.3,3137242.0
Zacarry Douglas,North Carolina Central,3,-0.455205,80.0,17.1,3137247.0
Justin Coleman,Arizona,5,0.949915,70.0,18.4,3136168.0
Hassan Hussein,Southern,7,-6.01551,81.0,18.5,3155706.0
Josh Delaney,Sam Houston St.,1,-1.70215,72.0,21.1,3130722.0
Albert Almanza,Sam Houston St.,14,-0.73384,78.0,14.5,3130721.0
Thatch Unruh,Central Arkansas,11,-1.19174,77.0,19.3,3130700.0
Connor Kern,The Citadel,14,-3.06788,76.0,12.6,3141214.0
Bryan Alberts,Long Beach St.,14,-1.29782,77.0,16.5,3155939.0
Josh Perkins,Gonzaga,11,6.45492,75.0,19.8,3155941.0
Shawn Roundtree,Central Michigan,11,0.354113,72.0,21.1,3138292.0
Jake Toolson,Utah Valley,12,3.54027,77.0,20.5,3135098.0
Namon Wright,Colorado,12,3.66824,77.0,18.4,3136537.0
Jakeenan Gant,Louisiana,2,6.07203,80.0,26.1,3136539.0
Tyree Griffin,Southern Miss,9,3.04039,70.0,26.0,3147615.0
Romone Saunders,Wagner,9,3.37265,75.0,27.0,3136086.0
Cameron Jackson,Wofford,2,11.5809,80.0,32.8,3137234.0
Stuckey Mosley,James Madison,1,-1.59166,75.0,25.0,3137005.0
Deshon Taylor,Fresno St.,9,3.8028,74.0,26.4,3130608.0
Jabari McGhee,Austin Peay,8,2.81758,79.0,23.4,3149057.0
Sandy Cohen III,Green Bay,9,4.64167,78.0,24.9,3134084.0
Shaquille Doorson,Rutgers,13,3.75434,84.0,12.1,3149899.0
Marques Townes,Loyola Chicago,9,2.80329,76.0,27.4,3133963.0
Schadrac Casimir,Florida Gulf Coast,11,1.28876,70.0,20.2,3155750.0
Christen Cunningham,Louisville,11,4.4005,74.0,18.5,3137221.0
Detrick Mostella,Jacksonville St.,1,-1.00145,73.0,21.5,3149058.0
Noah Robotham,UNLV,1,0.100623,73.0,17.5,3136897.0
Javon Bess,Saint Louis,3,3.15335,78.0,19.8,3147687.0
Kenny Goins,Michigan St.,2,9.33924,79.0,15.4,3147689.0
Aaron Calixte,Oklahoma,1,-0.0267843,71.0,20.3,3147346.0
Jordan Nobles,Oakland,12,0.484377,81.0,11.2,3148984.0
Jeremy Jones,Gonzaga,15,8.40186,79.0,10.3,3947137.0
Clayton Custer,Loyola Chicago,11,0.627801,73.0,20.3,3133597.0
Max Twyman,Hartford,12,-1.92877,77.0,8.5,3130743.0
Ed Jones,Alabama St.,17,-8.97637,80.0,19.9,3149047.0
Jordan Tyson,Georgia St.,16,-0.600798,81.0,11.8,3133875.0
Ryan Luther,Arizona,12,5.07506,81.0,17.8,3138197.0
Brock Stull,Minnesota,10,-0.175858,76.0,9.6,3147488.0
Cane Broome,Cincinnati,1,1.15608,72.0,22.3,3153183.0
Brandone Francis,Texas Tech,17,3.96656,77.0,16.0,3137796.0
Trey Touchet,McNeese St.,10,-3.83272,74.0,12.5,3132539.0
Terry Winn III,UT Rio Grande Valley,7,-3.36962,79.0,23.5,3132540.0
Jamuni McNeace,Oklahoma,16,1.4217,82.0,18.8,3133610.0
J.C. Show,Binghamton,14,-2.40811,75.0,18.1,3149019.0
Paschal Chukwu,Syracuse,0,9.29795,86.0,12.0,3136471.0
Jordan Reed,New Hampshire,10,-2.76441,72.0,18.9,3132469.0
Reginal Johnson,Alcorn St.,1,-6.10833,77.0,27.3,3155568.0
Mike Daum,South Dakota St.,2,3.96073,81.0,32.3,3136460.0
Davon Bell,Presbyterian,9,1.2885,70.0,20.9,3129928.0
Ethan Happ,Wisconsin,2,11.5876,82.0,34.9,3136996.0
Armani Branch,Norfolk St.,3,-2.02208,79.0,16.7,3155936.0
Xavian Stapleton,Florida Atlantic,12,5.05468,79.0,25.5,3132377.0
Norense Odiase,Texas Tech,0,6.4541,80.0,14.1,3133632.0
Tarin Smith,Connecticut,6,1.07686,75.0,17.3,3136501.0
Spencer Rivers,UC Irvine,17,-2.02255,74.0,9.7,3148951.0
Jonathan Galloway,UC Irvine,13,6.29033,82.0,14.6,3148950.0
Khwan Fore,Louisville,10,2.1984,72.0,12.2,3133847.0
Taishaun Johnson,Prairie View A&M,5,-2.12146,72.0,20.6,3143560.0
Kevin Holland,Southern Miss,14,2.72208,73.0,9.2,3152337.0
Eric Carter,Delaware,2,1.35078,81.0,26.8,3129938.0
David Efianayi,Gardner Webb,11,2.3655,74.0,26.4,3129910.0
Michael Nzei,Seton Hall,13,2.6277,80.0,14.5,3136475.0
Elston Jones,UC Irvine,0,4.40731,81.0,18.6,3137728.0
Richard Lee,Southern,14,-1.88323,76.0,18.0,3138570.0
Isaiah Jackson,Providence,6,6.42436,78.0,19.1,3133821.0
Nick Norton,Drake,9,6.05667,70.0,22.3,3132482.0
BJ Taylor,UCF,1,4.4774,74.0,23.8,3132062.0
Evan Fitzner,Indiana,3,0.990212,82.0,16.0,3146558.0
Zaynah Robinson,Northern Kentucky,1,-1.4621,71.0,14.9,3154149.0
Gerard Martin,Grand Canyon,12,3.25355,79.0,11.4,3130581.0
Marial Shayok,Iowa St.,11,4.25118,78.0,26.9,3138201.0
B.J. Stith,Old Dominion,3,0.42974,77.0,24.8,3138202.0
Jack Salt,Virginia,13,5.42197,82.0,14.3,3138200.0
Chris Collins,Texas A&M,4,-1.60977,75.0,6.9,3155698.0
Brocke Stepteau,Hawaii,11,-1.28595,69.0,19.6,3148930.0
Samuel Dingba,Vermont,0,3.30192,77.0,13.2,3156103.0
Torin Dorn,N.C. State,3,2.42945,77.0,23.4,3132359.0
Jalen Adams,Connecticut,9,3.96368,75.0,27.9,3934622.0
Brandon Alston,Georgia Tech,11,-2.29867,77.0,20.8,3130565.0
Kaleb Joseph,Creighton,17,-0.162836,75.0,15.5,3153166.0
Jake Babic,Texas A&M Corpus Chris,17,-2.1401,77.0,16.8,3141192.0
Anthony Durham,Rider,11,0.364492,75.0,14.9,3138490.0
Larry Austin Jr.,Central Michigan,9,4.00189,74.0,30.1,3136480.0
Ehab Amin,Oregon,6,4.77097,76.0,20.7,3151454.0
Raasean Davis,North Carolina Central,13,1.32508,80.0,21.0,3136942.0
Torry Johnson,Wake Forest,5,-2.57795,75.0,16.6,3155501.0
Michael Gilmore,VCU,15,1.13188,82.0,22.7,3138208.0
Jeremiah Jefferson,Nicholls St.,1,-3.4009,74.0,23.3,4283589.0
Zach Braxton,Weber St.,13,-0.399249,81.0,20.5,3136850.0
Dylan Osetkowski,Texas,2,7.50077,81.0,21.2,3155390.0
Makai Mason,Baylor,1,0.228077,73.0,24.8,3138265.0
Skyler Flatten,South Dakota St.,12,3.6467,78.0,17.2,67440.0
Matt Jackson,Grand Canyon,17,0.118723,80.0,13.6,3130577.0
Amari Hamilton,North Carolina A&T,1,-6.13884,73.0,26.6,3158900.0
Josh Gantz,UMass Lowell,12,1.419,79.0,15.2,3130753.0
Jalyn Patterson,Texas Southern,1,-1.29474,73.0,22.6,3136216.0
Tre Campbell,South Carolina,10,1.48187,72.0,15.6,3149031.0
Elbert Robinson III,Old Dominion,16,-2.09604,85.0,18.7,3136215.0
Trey Mourning,Georgetown,7,-2.52037,81.0,20.9,3149034.0
Phil Booth,Villanova,11,4.01274,75.0,27.4,3147656.0
Abdoulaye Gueye,Georgia Tech,8,1.85118,81.0,22.4,3135059.0
Shawn Olden,Texas Southern,10,-3.1417,75.0,16.4,3136510.0
Eric Cooper Jr.,Pepperdine,14,-0.195179,75.0,16.3,3137705.0
Greg Malinowski,Georgetown,11,3.06946,78.0,18.2,3129965.0
Jorge Rosa,New Orleans,10,-3.39034,75.0,19.6,3154931.0
Jack Purchase,Hawaii,12,2.79563,81.0,17.1,3136178.0
T.J. Lang,South Florida,10,-0.226018,79.0,13.7,3136177.0
David Wacker,Boise St.,8,1.52778,82.0,11.4,3149011.0
Zach Johnson,Miami FL,6,0.823394,74.0,23.2,3130509.0
Miles Reynolds,Oklahoma,6,1.47953,75.0,19.6,3133868.0
Marcus Bartley,Southern Illinois,14,-2.09738,77.0,13.7,3133865.0
Milik Yarbrough,Illinois St.,9,0.195823,78.0,34.4,3133866.0
Michael Finke,Grand Canyon,12,3.38604,82.0,18.9,3131629.0
AJ John,UC Davis,17,-1.62042,80.0,16.8,3136512.0
D.J. Foreman,Saint Louis,16,-2.88115,80.0,18.5,3149900.0
Novak Topalovic,Utah,16,-1.70591,84.0,14.1,3155499.0
Paul Rowley,William & Mary,17,-3.73651,80.0,18.5,3129966.0
Jace Hogan,Jacksonville,7,-4.58568,78.0,25.5,3158440.0
Shelton Mitchell,Clemson,1,1.20175,76.0,21.3,3136699.0
Kerwin Smith,Oral Roberts,16,-1.96105,82.0,13.8,3130579.0
Laquarious Paige,Lamar,4,-6.28259,75.0,18.1,3138269.0
Jordan Butler,Norfolk St.,16,-0.557209,78.0,18.3,3156043.0
Temidayo Yussuf,Long Beach St.,8,-3.74546,79.0,29.2,3137252.0
Marcus Graves,Sacramento St.,9,1.31575,72.0,28.5,3136801.0
Jeff Thomas,Georgia St.,14,1.23716,77.0,18.0,3141263.0
Paul Jorgensen,Butler,14,2.58731,74.0,22.7,3133836.0
Lance Tejada,Lehigh,1,-0.732996,74.0,24.4,3147354.0
Braxton Huggins,Fresno St.,11,1.47121,76.0,29.2,3149662.0
Phil Cofer,Florida St.,17,0.438302,80.0,15.8,3135054.0
Jacob Kessler,Army,17,0.712668,76.0,11.2,3155887.0
Stephen O'Suji,Houston Christian,5,-3.19385,72.0,18.6,3130704.0
Jordan Cornish,Tulane,4,-5.80313,78.0,24.6,3137729.0
Christian Mekowulu,Texas A&M,8,1.38324,80.0,20.7,3138574.0
Dion Wiley,Saint Louis,17,-3.41343,76.0,15.8,3131633.0
Eric Paschall,Villanova,3,3.15749,80.0,23.8,3133817.0
Shawn O'Connell,UNC Wilmington,8,-3.63249,80.0,11.4,3141256.0
Zylan Cheatham,Arizona St.,2,5.30054,80.0,21.3,3137713.0
John Carroll,Hartford,3,-2.38372,80.0,26.1,3130746.0
Ruben Guerrero,Samford,0,2.60068,84.0,20.8,3132055.0
Troy Holston,Saint Joseph's,17,-4.58631,76.0,19.3,3132056.0
Kyle Castlin,Xavier,17,0.788522,76.0,11.3,3155733.0
Devin Watson,San Diego St.,1,1.15167,73.0,25.6,3136524.0
Nick Harris,Charleston,16,-1.38653,82.0,11.2,3129936.0
Paul Jackson,Eastern Michigan,5,-3.36058,74.0,27.4,3155894.0
Riley Norris,Alabama,14,4.99186,79.0,15.2,3136172.0
Brady Ellingson,Drake,12,2.83152,76.0,14.0,3136488.0
Zach Haney,Boise St.,2,2.32589,83.0,24.5,3149009.0
Byron Hawkins,Bryant,1,-4.45485,73.0,21.7,3147463.0
D.J. McCall,IU Indy,6,0.460489,78.0,16.4,3134938.0
Jordan McNeil,Towson,17,-4.88106,77.0,16.7,3147464.0
Isaac Copeland Jr.,Nebraska,2,4.91698,81.0,21.1,3149032.0
Scott Plaisance Jr.,New Orleans,15,-0.105968,81.0,21.7,3141271.0
Wyatt Lohaus,Northern Iowa,1,-1.30386,74.0,19.8,3148990.0
John Konchar,Purdue Fort Wayne,2,8.81829,77.0,28.3,3134932.0
Dalton Nixon,BYU,8,0.514427,79.0,17.2,3135097.0
Devin Mitchell,Georgia St.,14,0.88191,76.0,18.7,3906647.0
Reid Travis,Kentucky,2,6.39124,80.0,19.8,3134914.0
Sidney Umude,Southern,7,-5.18304,79.0,25.4,3133945.0
Nicholas Baer,Iowa,2,10.0504,79.0,17.2,3155509.0
Lewis Sullivan,UAB,2,2.98757,79.0,21.5,3132486.0
Matz Stockman,Minnesota,0,4.67424,84.0,14.8,3147361.0
