Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
Isaiah Felder,South Carolina St.,4,-11.1837,72.0,18.6,3948621.0
Jalen Coleman-Lands,Iowa St.,14,1.0456,76.0,21.5,3911842.0
K.J. Walton,Ball St.,8,1.20551,75.0,26.5,3917384.0
Traci Carter,Hartford,9,2.42916,73.0,24.0,3906520.0
Isiah Brown,Weber St.,11,1.33631,74.0,24.9,4066394.0
Jordy Tshimanga,Dayton,13,0.457431,83.0,19.7,4066393.0
Jeriah Horne,Colorado,3,5.47892,79.0,20.8,4066390.0
Eric Curry,Minnesota,6,2.45038,81.0,14.7,4066388.0
Austin Davis,Michigan,13,4.46482,82.0,22.0,4066380.0
James Butler,Drexel,2,3.71406,80.0,22.2,4067138.0
Marlin Davis,Texas St.,5,-1.20418,74.0,15.9,4067808.0
Ivan Madunic,Southern Utah,7,0.307654,83.0,14.2,4066954.0
Jailyn Ingram,Florida Atlantic,3,0.269814,79.0,23.5,4066981.0
D'Mitrik Trice,Wisconsin,11,4.97909,72.0,23.8,4066413.0
Aleem Ford,Wisconsin,3,4.574,80.0,18.2,4066414.0
Charlie Moore,DePaul,9,2.0942,71.0,26.6,4066345.0
Ben Shungu,Vermont,11,2.5892,74.0,20.4,4066789.0
Tyler Jones,North Carolina A&T,7,-5.53087,80.0,16.2,4704089.0
Keon Clergeot,Southeastern Louisiana,1,-4.08298,73.0,25.9,4066460.0
Bryce Aiken,Seton Hall,1,-2.02273,72.0,23.5,4066826.0
Arinze Chidom,UC Riverside,3,1.47619,81.0,28.9,4066669.0
Peter Kiss,Bryant,11,3.51215,77.0,22.5,4070686.0
Joshua Langford,Michigan St.,1,2.37349,77.0,19.9,4066381.0
"Tobias Howard, Jr.",Indiana St.,10,-4.44421,74.0,17.0,4397588.0
George Willborn III,UC Riverside,14,-0.0287871,75.0,19.2,4397620.0
Kevin Marfo,Texas A&M,16,2.22229,80.0,15.0,4066877.0
Jair Bolden,Butler,10,0.675731,75.0,17.8,4066872.0
Davion Mintz,Kentucky,11,4.75716,75.0,19.8,4065766.0
Sam Hauser,Virginia,12,7.45235,80.0,22.2,4065804.0
Blake Francis,Richmond,1,1.34122,72.0,24.6,4067970.0
Mark Vital,Baylor,8,9.16419,77.0,15.2,4066292.0
AJ Wilson,George Mason,7,-0.529196,79.0,22.5,4066866.0
Eugene Omoruyi,Oregon,2,6.72827,78.0,29.0,4066410.0
Danny Pippen,Kent St.,3,2.55172,81.0,32.8,4067385.0
Xavier Green,Old Dominion,4,-2.46844,78.0,15.5,4067031.0
Corey Douglas Jr.,VCU,0,6.71636,80.0,12.1,4067052.0
Kwe Parker,North Carolina A&T,1,-3.92451,74.0,20.2,4066217.0
Tareq Coburn,Hofstra,11,4.07443,77.0,19.4,4066515.0
Marquell Fraser,Detroit Mercy,6,-0.327781,77.0,16.5,4066502.0
Frank Ryder,Denver,13,-3.77625,82.0,17.4,4066747.0
Mitchell Smith,Missouri,12,4.66134,82.0,12.3,4066235.0
Justin Turner,Bowling Green,9,2.71832,76.0,27.7,4067366.0
Michael Hughes,Duquesne,2,7.65133,80.0,21.6,4067360.0
Tavian Dunn-Martin,Duquesne,1,-1.38383,68.0,21.6,4067358.0
Solomon Young,Iowa St.,8,0.704171,80.0,20.5,4066296.0
Jay Huff,Virginia,0,11.8196,85.0,23.2,4065731.0
Taze Moore,Cal St. Bakersfield,9,5.29077,77.0,29.8,4066808.0
Justin Edler-Davis,Cal St. Bakersfield,14,0.947691,76.0,17.2,4396025.0
Greg Lee,Western Michigan,2,0.994622,81.0,28.5,4066811.0
Elyjah Goss,IU Indy,8,-2.85425,79.0,18.6,4067670.0
Brandon Johnson,Minnesota,2,4.25968,80.0,16.5,4067410.0
Lorenzo Edwards,Charleston,15,3.28356,80.0,10.5,4066512.0
Grant Golden,Richmond,2,4.43622,82.0,26.3,4066836.0
De'Monte Buckingham,Cal St. Bakersfield,3,-0.184868,76.0,21.0,4066833.0
Jalen Johnson,Mississippi St.,14,1.04064,78.0,15.0,4066817.0
Chance Garvin,Idaho,4,-4.68766,76.0,16.7,4066892.0
Perry Francois,Texas A&M Corpus Chris,8,-0.686236,80.0,18.9,4067864.0
Jo'Vontae Millner-Criss,Middle Tennessee,3,-0.202704,78.0,17.7,4067733.0
Jonah Antonio,Wake Forest,14,3.44866,77.0,15.7,4067910.0
Randy Miller Jr.,Indiana St.,10,-4.34012,74.0,19.3,4398239.0
Ryan Gomes,Houston Christian,16,-7.73776,82.0,14.2,4067915.0
Nolan Taylor,Southeast Missouri St.,8,-2.33405,79.0,23.2,4066711.0
Kolton Kohl,Abilene Christian,2,5.29337,84.0,29.0,4067625.0
Clay Mounce,Furman,12,2.62067,79.0,20.1,4067608.0
Scott Spencer,La Salle,17,-2.88608,78.0,19.4,4065646.0
Algevon Eichelberger,Cleveland St.,7,-2.37079,80.0,25.0,4065777.0
Eron Gordon,Valparaiso,17,-0.325871,75.0,15.1,4065815.0
Mitch Lightfoot,Kansas,0,0.688615,80.0,18.7,4066300.0
Nate Johnson,Xavier,14,4.24974,76.0,16.5,4067338.0
Devearl Ramsey,UC Santa Barbara,1,4.32806,72.0,14.7,4066700.0
Drew Buggs,Missouri,4,-1.06559,75.0,13.4,4066911.0
DJ Jones,Florida A&M,0,0.959852,81.0,19.0,4066476.0
Devin Kirby,Montana St.,13,-1.27478,83.0,7.0,4066614.0
Zion Morgan,Valparaiso,5,-0.890477,77.0,21.9,4066783.0
Ben Coupet Jr.,Little Rock,12,0.445249,79.0,16.3,4066780.0
Kenny Cooper,Western Kentucky,4,-2.28715,72.0,14.8,4067179.0
James Scott,Portland St.,9,0.539492,77.0,30.3,4067159.0
Nick Hopkins,Siena,14,1.69565,72.0,10.4,4067151.0
DeAndre Dishman,Middle Tennessee,7,-1.42,78.0,19.6,4067165.0
Asante Gist,Iona,1,-3.31113,70.0,26.0,4067164.0
Kurk Lee,Alcorn St.,1,-4.50182,70.0,22.5,4067229.0
Osinachi Smart,Charleston,13,-1.40066,80.0,11.9,4067221.0
Ryan Daly,Saint Joseph's,3,0.150265,77.0,27.6,4067224.0
Corey Allen,Georgia St.,11,0.499568,74.0,21.3,4067418.0
Justin Hopkins,Texas Southern,3,-1.09026,77.0,15.3,4067629.0
Triston Chambers,Samford,17,-3.58409,74.0,16.5,4067627.0
Keith Smith,Cal Poly,5,-2.54087,72.0,18.4,4067631.0
