Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
Elijah Elliott,New Mexico St.,1,-0.973155,73.0,26.7,4897978.0
Rahmir Moore,Delaware St.,1,-4.84786,74.0,18.4,4592477.0
Alex Hemenway,Evansville,10,-4.47401,76.0,14.3,4433001.0
Addison Patterson,Eastern Michigan,2,1.91902,79.0,23.5,4592404.0
Rienk Mast,Nebraska,3,5.41459,82.0,25.8,4592677.0
Rick Issanza,Loyola Marymount,0,2.51871,85.0,10.2,4592217.0
Steele Venters,Gonzaga,12,3.56885,79.0,15.2,4592579.0
Micah Thomas,Northwestern St.,1,-3.82742,72.0,30.2,4897467.0
Rashaun Agee,Texas A&M,2,8.55532,79.0,25.1,4593815.0
Tyler Cochran,Rhode Island,6,4.71462,74.0,26.4,4431930.0
Curt Lewis,Southern Miss,10,-0.947812,77.0,11.0,4593474.0
Chase Johnston,High Point,12,3.05094,75.0,14.1,4612709.0
Devan Cambridge,UCF,15,5.68773,78.0,15.1,4567588.0
Gianni Hunt,East Texas A&M,9,0.079087,76.0,22.5,4431815.0
Morgan Safford,Kent St.,3,1.28611,77.0,20.1,4593739.0
Matt Van Komen,Marshall,0,3.48376,88.0,17.2,4432858.0
Jordan Brinson,Cal St. Northridge,10,-1.43861,74.0,9.7,4432899.0
Hosana Kitenge,UC Santa Barbara,15,0.476024,80.0,22.6,4593883.0
Tariq Ingraham,Memphis,8,-2.09618,81.0,17.7,4431995.0
Josh Ogundele,Hampton,15,-1.39476,84.0,20.5,4433231.0
Jahari Long,George Mason,11,1.62939,77.0,19.3,4433512.0
Javon Cooley,Pepperdine,3,-1.66541,77.0,19.1,4703833.0
Toneari Lane,San Diego,14,-1.11228,77.0,16.7,4702226.0
Trae Broadnax,Rice,9,1.82259,76.0,26.9,4702522.0
Jeremiah Williams,Georgetown,5,-0.294465,76.0,20.3,4701222.0
Keishon Porter,Evansville,7,-7.20913,77.0,22.8,4702212.0
Alec Oglesby,Middle Tennessee,14,0.288729,77.0,14.9,4702696.0
Tegra Izay,Southern Miss,0,1.58165,84.0,12.8,4700971.0
Latrell Wrightsell Jr.,Alabama,11,5.6801,75.0,19.6,4702484.0
Isaiah Cottrell,Southern Utah,7,-1.82305,83.0,19.5,4432201.0
Nijel Pack,Oklahoma,11,5.24879,70.0,24.0,4576062.0
Andre Henry,UC Irvine,11,0.0829699,76.0,19.3,4702629.0
Josh Taylor,East Texas A&M,15,-2.48272,80.0,17.9,4702889.0
Chad Baker-Mazara,USC,11,5.57082,79.0,27.6,4700877.0
Dante Harris,Tennessee St.,5,-2.61408,72.0,21.0,4596531.0
Jay Rodgers,Central Connecticut,9,-5.59208,75.0,25.8,4703644.0
Jalen Speer,Marshall,1,-0.999383,73.0,26.1,4704015.0
DA Houston,Texas A&M Corpus Chris,5,-3.15253,74.0,26.2,4585602.0
Tyon Grant-Foster,Gonzaga,2,4.37395,79.0,26.0,4700527.0
Vukasin Masic,San Francisco,17,-3.73534,77.0,15.5,4702764.0
