ncaa_id,year,rapm,off_rapm,def_rapm,base_bpm,win_rate,games_played,total_minutes
3147688,2019,-0.21,-0.52,0.66,0.08,0.618,34,1021.0
3147689,2019,9.39,3.96,5.36,7.6,0.821,39,1187.0
3134911,2019,1.24,-0.5,2.24,0.82,0.833,36,797.0
3134914,2019,6.93,3.78,3.15,5.37,0.812,32,913.0
3133794,2019,-6.36,-6.98,1.02,-7.03,0.833,12,69.0
3132359,2019,4.65,3.71,1.11,4.23,0.667,36,1027.0
3132360,2019,1.8,-0.22,2.03,1.48,0.571,35,960.0
3132374,2019,4.52,1.43,3.22,3.77,0.714,28,475.0
3132377,2019,6.72,5.84,1.43,8.1,0.5,24,535.0
3133817,2019,4.05,3.41,0.94,3.69,0.722,36,1300.0
3133821,2019,5.29,3.15,2.46,5.94,0.529,34,893.0
3133822,2019,3.09,1.56,1.8,2.65,0.72,25,387.0
3133824,2019,2.36,-0.05,2.93,1.92,0.853,34,591.0
3133836,2019,3.14,3.83,-0.38,3.98,0.485,33,873.0
3133839,2019,-5.27,-2.76,-1.95,-3.79,0.484,31,1053.0
3132417,2019,-0.72,1.04,-1.23,0.0,0.622,37,1240.0
3132447,2019,1.75,2.74,-0.55,2.28,0.611,36,1149.0
3147476,2019,1.82,0.2,1.59,1.39,0.571,21,157.0
3132469,2019,-6.56,-4.2,-1.81,-3.23,0.111,27,872.0
3133847,2019,0.8,-2.18,2.98,0.36,0.588,34,655.0
3133848,2019,-1.04,-2.13,1.69,0.38,0.515,33,638.5
3133856,2019,0.93,-1.53,2.9,2.02,0.5,22,285.5
3133865,2019,-3.79,-2.76,-0.54,-2.72,0.531,32,772.0
3133866,2019,0.75,1.01,0.26,2.06,0.5,32,943.0
3133868,2019,0.93,-1.25,2.19,0.49,0.588,34,686.0
3133875,2019,-4.13,-5.66,1.98,-3.98,0.697,33,408.0
3138208,2019,-0.12,-4.39,4.73,-0.27,0.758,33,238.0
3149036,2019,6.88,1.82,5.05,5.3,0.816,38,1177.0
3149009,2019,0.1,0.76,-0.29,1.66,0.375,32,636.0
