Season,SeasonLabel,TeamId,Team,Conference,AthleteId,AthleteSourceId,Name,Position,Games,Starts,Minutes,Points,Turnovers,Fouls,Assists,Steals,Blocks,OffensiveRating,DefensiveRating,NetRating,PORPAG,Usage,AssistsTurnoverRatio,OffensiveReboundPct,FreeThrowRate,EffectiveFieldGoalPct,TrueShootingPct,FieldGoals Made,FieldGoals Attempted,FieldGoals Pct,TwoPointFieldGoals Made,TwoPointFieldGoals Attempted,TwoPointFieldGoals Pct,ThreePointFieldGoals Made,ThreePointFieldGoals Attempted,ThreePointFieldGoals Pct,FreeThrows Made,FreeThrows Attempted,FreeThrows Pct,Rebounds Offensive,Rebounds Defensive,Rebounds Total,WinShares Offensive,WinShares Defensive,WinShares Total,WinShares TotalPer40,PPG,RPG,APG,SPG,BPG,TOPG,FPG,MPG,data_tier,BPM,VORP,RAPM,off_RAPM,def_RAPM,OBPM,DBPM
2020,20192020,501,Georgian Court,,1210,4601499,Titus Beard,G,1,0,15,2,3,0,0,0,0,40.0,96.6,-56.6,-2.1,17.3,0.0,50.0,0.0,50.0,0.5,1,2,50.0,1,1,100.0,0,1,0.0,0,0,0.0,1,1,2,-0.1,0.0,-0.1,-0.267,2.0,2.0,0.0,0.0,0.0,3.0,0.0,15.0,basic,,,,,,,
2020,20192020,501,Georgian Court,,1211,4601498,Jelani Jackson,G,1,1,27,3,2,1,2,0,0,61.4,95.9,-34.5,-1.4,11.5,1.0,0.0,0.0,37.5,0.375,1,4,25.0,0,2,0.0,1,2,50.0,0,0,0.0,0,2,2,0.0,0.1,0.1,0.148,3.0,2.0,2.0,0.0,0.0,2.0,1.0,27.0,basic,,,,,,,
2020,20192020,501,Georgian Court,,28344,4601506,Alonzo Ortiz-Traylor,F,1,1,33,6,7,4,2,1,2,41.3,80.4,-39.1,-6.4,25.2,0.29,0.0,0.0,33.3,0.333,2,9,22.2,0,6,0.0,2,3,66.7,0,0,0.0,0,7,7,-0.2,0.1,-0.1,-0.121,6.0,7.0,2.0,1.0,2.0,7.0,4.0,33.0,basic,,,,,,,
2020,20192020,501,Georgian Court,,38510,4287815,Kim Speller,F,1,1,28,6,0,4,0,1,0,123.5,88.6,34.9,1.5,9.3,,40.0,0.0,60.0,0.6,3,5,60.0,3,5,60.0,0,0,0.0,0,0,0.0,2,3,5,0.0,0.1,0.1,0.143,6.0,5.0,0.0,1.0,0.0,0.0,4.0,28.0,basic,,,,,,,
2020,20192020,501,Georgian Court,,38511,4287817,Caleb Bowser,G,1,1,32,14,7,1,3,0,0,68.8,95.0,-26.2,-3.5,34.6,0.43,0.0,23.1,46.2,0.489,6,13,46.2,6,11,54.5,0,2,0.0,2,3,66.7,0,3,3,-0.1,0.1,0.0,0.0,14.0,3.0,3.0,0.0,0.0,7.0,1.0,32.0,basic,,,,,,,
2020,20192020,501,Georgian Court,,38512,4601509,Kristian Alexander,ATH,1,0,10,3,2,4,0,0,0,58.4,71.3,-12.9,-1.0,20.8,0.0,0.0,0.0,75.0,0.75,1,2,50.0,0,1,0.0,1,1,100.0,0,0,0.0,0,5,5,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,4.0,10.0,basic,,,,,,,
2020,20192020,501,Georgian Court,,38513,4601505,Davon Floyd,ATH,1,0,12,2,1,1,0,3,1,39.6,52.2,-12.6,-2.5,25.9,0.0,33.3,0.0,20.0,0.2,1,5,20.0,1,3,33.3,0,2,0.0,0,0,0.0,1,2,3,-0.1,0.1,0.0,0.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,12.0,basic,,,,,,,
2020,20192020,501,Georgian Court,,38514,4601502,Justin Figueroa,ATH,1,0,14,1,0,1,2,1,0,53.6,86.2,-32.6,-1.1,14.4,,0.0,66.7,0.0,0.129,0,3,0.0,0,2,0.0,0,1,0.0,1,2,50.0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,14.0,basic,,,,,,,
2020,20192020,501,Georgian Court,,38515,4287810,Sean Barksdale,G,1,0,9,5,0,0,0,0,0,132.9,94.3,38.6,1.5,22.4,,0.0,66.7,50.0,0.644,1,3,33.3,0,1,0.0,1,2,50.0,2,2,100.0,0,1,1,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,basic,,,,,,,
2020,20192020,503,Piedmont,,22351,4606865,Orry Clements-Owens,G,2,2,53,30,8,2,6,0,0,91.0,226.1,-135.1,0.3,25.5,0.75,0.0,8.7,60.9,0.628,10,23,43.5,2,8,25.0,8,15,53.3,2,2,100.0,0,4,4,0.0,-0.5,-0.5,-0.377,15.0,2.0,3.0,0.0,0.0,4.0,1.0,26.5,basic,,,,,,,
2020,20192020,503,Piedmont,,22352,4403677,Andrew Stimpson,G,2,0,53,13,4,2,7,4,1,88.1,207.4,-119.3,0.0,13.5,1.75,14.3,16.7,54.2,0.505,5,12,41.7,2,5,40.0,3,7,42.9,0,2,0.0,1,6,7,0.0,-0.4,-0.4,-0.302,6.5,3.5,3.5,2.0,0.5,2.0,1.0,26.5,basic,,,,,,,
2020,20192020,503,Piedmont,,22353,4403676,Will Richter,G,2,0,20,4,5,1,0,0,0,29.8,224.9,-195.1,-2.8,29.5,0.0,0.0,25.0,12.5,0.225,1,8,12.5,1,5,20.0,0,3,0.0,2,2,100.0,0,2,2,-0.3,-0.2,-0.5,-1.0,2.0,1.0,0.0,0.0,0.0,2.5,0.5,10.0,basic,,,,,,,
2020,20192020,503,Piedmont,,22355,4403681,Aaron Palmer,F,2,0,16,2,3,4,0,0,1,25.4,207.2,-181.8,-1.6,19.7,0.0,0.0,25.0,25.0,0.225,1,4,25.0,1,3,33.3,0,1,0.0,0,1,0.0,0,5,5,-0.2,-0.1,-0.3,-0.75,1.0,2.5,0.0,0.0,0.5,1.5,2.0,8.0,basic,,,,,,,
2020,20192020,503,Piedmont,,22356,4606866,Logan Cranford,G,2,0,9,0,0,0,0,0,0,0.0,219.3,-219.3,-0.3,4.7,,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,2,2,0.0,-0.1,-0.1,-0.444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5,basic,,,,,,,
2020,20192020,503,Piedmont,,22358,4403678,Dalton Meeler,F,2,0,24,7,1,4,0,0,2,67.3,212.7,-145.4,-0.8,20.6,0.0,20.0,75.0,18.8,0.329,1,8,12.5,0,5,0.0,1,3,33.3,4,6,66.7,1,4,5,-0.1,-0.2,-0.3,-0.5,3.5,2.5,0.0,0.0,1.0,0.5,2.0,12.0,basic,,,,,,,
2020,20192020,503,Piedmont,,28786,4286152,Jordan Foote,F,2,2,40,12,6,7,4,6,0,61.8,193.1,-131.3,-1.9,22.2,0.67,0.0,14.3,42.9,0.403,5,14,35.7,3,9,33.3,2,5,40.0,0,2,0.0,0,5,5,-0.2,-0.3,-0.5,-0.5,6.0,2.5,2.0,3.0,0.0,3.0,3.5,20.0,basic,,,,,,,
2020,20192020,503,Piedmont,,28787,4286147,Evan Easton,F,2,0,16,0,1,2,1,0,0,19.1,223.2,-204.1,-1.7,18.6,1.0,50.0,0.0,0.0,0.0,0,6,0.0,0,4,0.0,0,2,0.0,0,0,0.0,2,2,4,-0.2,-0.2,-0.4,-1.0,0.0,2.0,0.5,0.0,0.0,0.5,1.0,8.0,basic,,,,,,,
