Season,SeasonLabel,TeamId,Team,Conference,AthleteId,AthleteSourceId,Name,Position,Games,Starts,Minutes,Points,Turnovers,Fouls,Assists,Steals,Blocks,OffensiveRating,DefensiveRating,NetRating,PORPAG,Usage,AssistsTurnoverRatio,OffensiveReboundPct,FreeThrowRate,EffectiveFieldGoalPct,TrueShootingPct,FieldGoals Made,FieldGoals Attempted,FieldGoals Pct,TwoPointFieldGoals Made,TwoPointFieldGoals Attempted,TwoPointFieldGoals Pct,ThreePointFieldGoals Made,ThreePointFieldGoals Attempted,ThreePointFieldGoals Pct,FreeThrows Made,FreeThrows Attempted,FreeThrows Pct,Rebounds Offensive,Rebounds Defensive,Rebounds Total,WinShares Offensive,WinShares Defensive,WinShares Total,WinShares TotalPer40,PPG,RPG,APG,SPG,BPG,TOPG,FPG,MPG,data_tier
2026,20252026,9,App State,Sun Belt,1366,5176759,Luke Ledford,G,2,0,19,11,1,1,2,1,0,148.6,72.7,75.9,2.4,25.4,2.0,100.0,0.0,50.0,0.5,4,11,36.4,1,5,20.0,3,6,50.0,0,0,0.0,3,0,3,0.1,0.1,0.2,0.421,5.5,1.5,1.0,0.5,0.0,0.5,0.5,9.5,basic
2026,20252026,9,App State,Sun Belt,1367,5108925,Alonzo Dodd,G,32,32,1006,443,76,74,132,27,8,108.0,104.68,11.6,3.3,26.0,1.74,15.4,37.1,52.7,0.565,160,337,47.5,125,212,59.0,35,125,28.0,88,125,70.4,26,143,169,2.6,1.5,4.1,0.163,13.8,5.3,4.1,0.8,0.2,2.4,2.3,31.4,basic
2026,20252026,9,App State,Sun Belt,2600,5176798,Eren Banks,G,30,16,763,197,28,59,53,19,5,95.4,107.753,-6.6,0.8,16.4,1.89,14.1,13.5,44.0,0.447,76,208,36.5,45,84,53.6,31,124,25.0,14,28,50.0,11,67,78,0.4,0.9,1.3,0.068,6.6,2.6,1.8,0.6,0.2,0.9,2.0,25.4,basic
2026,20252026,9,App State,Sun Belt,8635,5177526,Chad Moodie,F,32,7,404,85,14,39,4,6,19,98.4,104.38,4.2,0.4,11.5,0.29,33.7,70.7,58.6,0.559,34,58,58.6,34,58,58.6,0,0,0.0,17,41,41.5,29,57,86,0.3,0.6,0.9,0.089,2.7,2.7,0.1,0.2,0.6,0.4,1.2,12.6,basic
2026,20252026,9,App State,Sun Belt,197962,5312352,Jacari Brim,G,21,0,135,26,1,8,15,3,0,67.7,108.672,29.0,0.5,6.1,15.0,13.3,26.1,52.2,0.507,9,23,39.1,3,6,50.0,6,17,35.3,2,6,33.3,2,13,15,0.3,0.2,0.5,0.148,1.2,0.7,0.7,0.1,0.0,0.0,0.4,6.4,basic
2026,20252026,9,App State,Sun Belt,197964,5312356,Grant Clayton,F,2,0,19,8,1,2,1,0,2,101.1,41.1,60.0,0.4,18.5,1.0,0.0,66.7,66.7,0.515,4,6,66.7,4,5,80.0,0,1,0.0,0,4,0.0,0,12,12,0.0,0.1,0.1,0.211,4.0,6.0,0.5,0.0,1.0,0.5,1.0,9.5,basic
2026,20252026,9,App State,Sun Belt,197975,5312355,Jalen Tot,G,31,16,778,295,26,48,36,21,2,108.4,109.109,2.5,1.9,19.2,1.38,10.3,16.5,48.5,0.505,92,272,33.8,12,32,37.5,80,240,33.3,31,45,68.9,6,52,58,1.2,0.8,2.0,0.103,9.5,1.9,1.2,0.7,0.1,0.8,1.5,25.1,basic
2026,20252026,10,Arizona State,Big 12,1730,5109033,Allen Mukeba,F,33,6,543,180,31,83,28,27,27,106.7,107.031,0.3,0.9,18.1,0.9,36.8,47.3,56.1,0.569,73,131,55.7,72,127,56.7,1,4,25.0,33,62,53.2,42,72,114,0.7,0.5,1.2,0.088,5.5,3.5,0.8,0.8,0.8,0.9,2.5,16.5,basic
2026,20252026,10,Arizona State,Big 12,2524,5176231,Bryce Ford,G,27,20,605,185,16,46,22,12,2,105.5,116.904,-9.2,1.1,14.8,1.38,15.9,21.2,47.3,0.513,62,165,37.6,30,63,47.6,32,102,31.4,29,35,82.9,7,37,44,0.6,0.1,0.7,0.046,6.9,1.6,0.8,0.4,0.1,0.6,1.7,22.4,basic
2026,20252026,10,Arizona State,Big 12,2806,5142326,Marcus Adams Jr.,F,14,0,165,50,7,19,3,3,4,98.2,110.769,-7.8,0.4,16.5,0.43,18.2,48.8,43.9,0.502,14,41,34.1,6,14,42.9,8,27,29.6,14,20,70.0,6,27,33,0.1,0.2,0.3,0.073,3.6,2.4,0.2,0.2,0.3,0.5,1.4,11.8,basic
