ncaa_id,Name,Team,current_usage,optimal_usage,optimal_bpm,current_bpm,usage_gap,games_analyzed
4396634,Antwann Jones,UNC Greensboro,15.35,15,-11.29148641769514,-10.187585119080326,0.34999999999999964,6
4433001,Alex Hemenway,Evansville,14.543333333333335,15,-4.786588945514873,-5.756915627656457,-0.4566666666666652,30
4592404,Addison Patterson,Eastern Michigan,23.37333333333333,35,3.824033960586777,2.273624534897222,-11.626666666666669,30
4592677,Rienk Mast,Nebraska,25.694117647058825,25,4.65922903335771,4.445783662709347,0.6941176470588246,34
4567588,Devan Cambridge,UCF,15.075757575757576,25,6.994035818711817,2.1568761813902233,-9.924242424242424,33
4431815,Gianni Hunt,East Texas A&M,22.226666666666667,35,2.877624592516579,-0.784585547261124,-12.773333333333333,30
4593739,Morgan Safford,Kent St.,19.880645161290325,25,3.1645404404694815,0.8008414691157338,-5.1193548387096754,31
4593883,Hosana Kitenge,UC Santa Barbara,22.643333333333334,25,-0.9770442551135446,-1.3357194475072593,-2.3566666666666656,30
4431995,Tariq Ingraham,Memphis,22.155999999999995,25,7.768304208143555,-8.711974272145328,-2.8440000000000047,25
4592579,Steele Venters,Gonzaga,13.50740740740741,15,2.185337078165709,0.8507858755301393,-1.4925925925925903,27
4592217,Rick Issanza,Loyola Marymount,9.244827586206897,15,-0.4833598247488861,-0.8792969239110664,-5.755172413793103,29
4592477,Rahmir Moore,Delaware St.,17.299999999999997,15,-6.12060064462424,-7.557335786180276,2.299999999999997,22
4432899,Jordan Brinson,Cal St. Northridge,9.593548387096773,5,-1.2006044311458086,-2.000584039872894,4.593548387096773,31
4431930,Tyler Cochran,Rhode Island,26.221874999999997,35,11.63140996484931,4.759842402212243,-8.778125000000003,32
5314192,Antonio Chandler,Siena,14.820689655172412,15,2.6284777631459852,0.2549520931231443,-0.1793103448275879,29
4593474,Curt Lewis,Southern Miss,10.55151515151515,5,-2.093134050440766,-2.2603891294411724,5.551515151515151,33
4612709,Chase Johnston,High Point,13.070967741935483,15,8.299014700939072,4.28394530070561,-1.9290322580645167,31
4432198,Dominick Harris,Loyola Chicago,19.4,25,6.432979495565866,-13.286390998190459,-5.600000000000001,7
4701125,Javohn Garcia,McNeese St.,17.20714285714286,25,13.7794212502637,4.330496990050406,-7.792857142857141,28
4702889,Josh Taylor,East Texas A&M,17.913333333333334,5,-1.2466696499056151,-7.162346424159179,12.913333333333334,30
4702464,Jefferson Koulibaly,Georgia Southern,12.970833333333333,5,-3.601708522236124,-6.7024625318098225,7.970833333333333,24
4593815,Rashaun Agee,Texas A&M,24.741176470588236,35,13.018076943175158,7.977735935493515,-10.258823529411764,34
4703097,John Shanu II,Eastern Michigan,8.55,5,-4.683639696832776,-7.0584406017527686,3.5500000000000007,28
4703169,Joshua Aaron Reaves,Hofstra,8.734782608695653,5,3.0138868561712777,-4.0662867349806575,3.734782608695653,23
4432243,Tramon Mark,Texas,22.142857142857142,15,7.09518847094096,4.699763260507761,7.142857142857142,35
4701217,Hunter Erickson,Hawaii,15.741935483870968,15,0.11174520320870102,-0.18560490017193831,0.741935483870968,31
4590362,Adetokunbo Bakare,Saint Peter's,16.629166666666666,25,-1.35449057442993,-2.13613561841078,-8.370833333333334,24
4701160,Mekhi Gray,Maine,21.470370370370368,15,-1.0025565001824472,-3.6301754625040528,6.470370370370368,27
4683633,Kerr Kriisa,Cincinnati,13.789473684210526,15,3.5115272227446392,0.952262093046944,-1.2105263157894743,19
4700877,Chad Baker-Mazara,USC,28.311999999999998,25,8.54519336257942,7.778580268754785,3.3119999999999976,25
4596711,JJ Traynor,Murray St.,16.181250000000002,25,-2.503216357736003,-2.2030792275879363,-8.818749999999998,32
4702629,Andre Henry,UC Irvine,18.551612903225802,25,2.698887631069977,0.9448841580934783,-6.448387096774198,31
4702626,Dawson Baker,BYU,16.316666666666666,15,6.530952450457851,-0.19467525652935316,1.3166666666666664,6
4701189,Anthony Roy,Oklahoma St.,24.05483870967742,15,6.240372435285589,4.447194664520362,9.05483870967742,31
4702212,Keishon Porter,Evansville,21.928571428571427,25,-8.229133255149785,-8.39969245094407,-3.071428571428573,14
4702218,Xavier Lipscomb,Mount St. Mary's,17.109677419354842,15,0.0903016165714785,-0.5355423406828558,2.109677419354842,31
4703912,Nate Heise,Iowa St.,11.178378378378376,15,4.364510267032122,4.278495719608658,-3.821621621621624,37
4702049,Duke Miles,Vanderbilt,25.435714285714287,35,13.95256408450517,9.945746114701679,-9.564285714285713,28
4703106,Dailin Smith,Cal St. Bakersfield,26.582758620689653,35,0.05066572844204176,-2.6991534335468796,-8.417241379310347,29
4703415,Marcus Fitzgerald Jr.,Jacksonville St.,13.500000000000002,25,3.501042337607707,-3.291627268490848,-11.499999999999998,27
4585609,Keith Lamar,Southern,16.84,15,-13.939223997406174,-7.879896107054023,1.8399999999999999,5
4700859,Josh Smith,Liberty,21.254838709677415,5,0.44759369563290957,-3.3643407866301063,16.254838709677415,31
